	tb	Whl2l3	Whl1l3	Whl1l2
0	0.01	0.0000000000000000000013051754133662289906039042302079101373165050686417474094731165334529997281015839	0.0000000000000000004085368218570560978269190831678147377039665946602099521614373172505303072456923	0.000000000000000000000049753964330305126281634831382163144970265558002246569897508855415458988602830696
1	0.013738237958832628959306640160922710114013528181478819177613092599958307411861814	0.00000000000000000000069291013044751488098286061873221584970901343905093192893999429629788636127994841	0.00000000000000000021693598728348597816264174164314531612993949535797613809145653388005736215701603	0.000000000000000000000026417497923085549640100814252103789572008685140832655073289112078272167537411917
2	0.018873918221350971931204631342434726742218968656826046851596965677581191347291115	0.00000000000000000000036756881192098600501093049611297513715330933675098194468142742675822968948731261	0.00000000000000000011509297232418699884740405431901889364327669728798926330361701854262092730642599	0.000000000000000000000014014802862165238528003895921476022603023705052232930539858254056675572763704803
3	0.025929437974046673951215012362738752356098537488479576683747404108015213145184266	0.00000000000000000000019489464202990901474294826179455023892624254387306855152530258964007783567495424	0.000000000000000000061030120469465004302185059896644378663914640702560592160455716032617444574263149	0.0000000000000000000000074313704450933508019433920780002622727218496522653082244559290091849936631456976
4	0.035622478902624423589596848124362646760208187556644854310565683345863025258945991	0.00000000000000000000010331002175952126945675525778392532819544441934856885210908057809725450279207262	0.000000000000000000032352540391628823177636863758723913004950306103074687711878089462790151110519347	0.0000000000000000000000039393496447281286940130050561234710912245743196837101785723871630856449038760118
5	0.048939009184774934951308495166382768440101385537673004792083951793588583641605928	0.000000000000000000000054753642670259401805458795078667995676911018979449600132315435014218163267111961	0.000000000000000000017147189569016436750200715642370385598767793041047942815759512419594994316960549	0.0000000000000000000000020878704830597597087022795159188719527267213564289508147879679049693308530835184
6	0.067233575364993368332206450845227735732121873270195970257640915340179069214693141	0.000000000000000000000029016083433584833833409455679793809022724894806671536258755723375848017156675591	0.0000000000000000000090871561166438574912290512716740741531404113528376288624224177089101985642495409	0.0000000000000000000000011064579892580222868685962345027159148993295914587077689763956845361288410946286
7	0.092367085718738621912641280458004821038467316871551007576137747161105114162590831	0.000000000000000000000015375737975709233501373725462177694033360820522029422192772820150512814624308668	0.0000000000000000000048153894308156845675421006587092510443560254231303997026213974398513709657430638	0.00000000000000000000000058632158519989834325367146568783293412696613162500016610883807039710337085535462
8	0.12689610031679221578970395628108583258419507408671325523457316446583446065123673	0.0000000000000000000000081473134096234478868240664608660213551635120327036512077309397631925994999799852	0.0000000000000000000025516090939305699335278979695004357911211690523790452176576326045553072473098529	0.00000000000000000000000031068259093748528189747668290536150515116055247228777481873302824746736457792004
9	0.17433288221999880117078795512374760016284128083952683619494148122160882999011503	0.0000000000000000000000043169827260638418161076990623051713160581897750941303854495169512242827678580162	0.0000000000000000000013520195653502006939717168805030297809389852545065083320195754193667277232089133	0.00000000000000000000000016462075420100684684342083767957988366192647878970900024584800724849046489668834
