M1	M2	M3	meta	mR	l5	mu22	BRtaumu	BRtaue	BRmue	BRhmutau	BRhetau	BRhemu
612.7352735645408	45387.20098803002	14667.39427278367	612.781017411348	615.9421769319052	1.508149389278672e-10	123181.33088026904	5.793748670713591e-13	2.0082354854398472e-15	7.387598811314039e-14	0.00000000011256488377058855934703689127902643	0.0000000029633602556609222169005088019001058	9.527732741585881760804369438516518e-11
358.844379305654	40100.406305730605	13219.466754453988	358.84853300524725	371.81897682959686	1.8968767914420374e-10	102682.57323371526	3.5702115491099264e-13	9.06222452882897e-16	3.596073223101684e-14	4.6392882800842993071045997192348739e-12	0.00000000064504338324779194177914024662448668	2.3932976104870664428529227343906445e-11
347.3266931321651	48607.57263710946	46612.22534760232	347.34012869560934	388.36175997572354	2.5061754319574903e-10	100392.92181981832	6.493158073955348e-16	1.6725768717114812e-16	1.1203347013686227e-15	4.0715734976947431689953833284694459e-12	0.00000000036435759911222196877232780065269216	1.6762478852271771888364035443542532e-11
435.87565791364773	34913.77377995588	28641.300964075956	435.9039330009435	466.5044475773584	1.7493078414410347e-10	93187.39096593583	1.1586882046618809e-14	8.036617974189689e-16	1.025461486462894e-14	9.0008274432003534277307799724501258e-11	0.0000000010655117864876856914628615714671934	4.6249852737742615204916680904176851e-11
327.7650215092952	20395.872211669463	36180.94124305223	327.7823771990546	367.93379663716485	1.773616352777171e-10	16913.574320356212	1.4038293809778785e-14	1.364200972059801e-14	2.1469550606733083e-14	0.00000000019663684629993266455213908489165157	0.00000000062540794076981790021369940365858364	2.9774515055390956859665737753950445e-11
470.697741282454	40969.60938220691	19354.816251887725	470.7450477370227	502.2455930771852	1.707565694074282e-10	27165.403089629537	1.2594681231223112e-13	3.130421477737452e-17	2.1607671851620667e-14	0.00000000023494764921963784618618887891630523	0.0000000014036018053802467031507962351611445	5.478388428595720241536717420721537e-11
454.49311221581496	43965.663334786936	46091.277217141636	454.49921739979555	465.69926889263314	2.0425284029262386e-10	107384.77809915724	4.617298490586268e-16	5.1285724694235e-16	2.548839063921316e-15	6.4056673251464073708133753215545892e-11	0.00000000073142359487043959691210261983385942	3.3215857477565367777731363199876149e-11
358.4191838143443	35512.6870438051	33862.137045829004	358.4483217601697	400.8159174730303	2.0257985660843966e-10	129935.79542470032	2.320909692305964e-15	7.254692419981633e-16	4.955179855318675e-15	2.8488191753367074143593484838031737e-14	0.00000000059647595964212582509583333961226987	2.6976811500927337972024170286322579e-11
514.1457173892281	42436.649616998206	27556.459989183626	514.1848436291084	525.3091207220563	1.7121190350134428e-10	123121.62183376921	2.921428592315975e-14	1.6311178326320819e-16	9.705502938912483e-15	0.00000000011003490540018943715290051269689568	0.0000000014080144210954543756276817577465556	5.8284089466782541983687433975198325e-11
464.02741972169844	23338.643524528496	42810.434474855094	464.07901120084534	491.496899207607	1.58916628106649e-10	158393.2136679474	1.6511161811418168e-14	1.5914473916958074e-14	2.394169362061917e-14	4.0311980222183007056261770489007965e-11	0.0000000012922081209989744938363235719537658	6.1645513791517757700841972636122175e-11
