	m6	Whl2l3	Whl1l3	Whl1l2
22	0.0000000012653317593889429472940956026335135841051138524924724968990086732972920624481391	(1.1215080680621482752140101098445154140019850550032921883845289841967044145307472e-57 + 0.0j)	(2.5003658630633644979565742645766342437323527119830265239494142057893274510137445e-59 + 0.0j)	(2.5827651230652470784159577512146310472692389840802457254490963612381660560049189e-61 + 0.0j)
23	0.0000000014200531816536826828033273322439271496241669260515241408462501170851309168370356	(1.4111272378246352484577734072705933412321012228168345921368711664156517655749261e-57 + 0.0j)	(3.1460669297369594051757770660320077314277701435878208371370199597026929784208091e-59 + 0.0j)	(3.2529961669172340815779848049410265725704946561792765782310349692319106883466052e-61 + 0.0j)
24	0.0000000015936935303817749577216129564433198131702689581068096448423982314693306310145968	(1.7755285598844177321310792327751417230048521416306563043874225852063835951636222e-57 + 0.0j)	(3.9584918719163742003781030116199134447164272017334092719182574048501531067257228e-59 + 0.0j)	(4.0971530019536385190781352734693235270299613360175298114341760473460318627709941e-61 + 0.0j)
25	0.0000000017885661618834616963182851682073117772131046937534762817326174497778285097220937	(2.2340195325578542899916622949949428506955029588888963891031150699576793827828282e-57 + 0.0j)	(4.9806849385244239693863404103645495091405634546148661496992129642732756526593636e-59 + 0.0j)	(5.1603695738931961946951170738851554247831127279776494811869622882697101519744435e-61 + 0.0j)
26	0.0000000020072673035625694740544092204520228736884746428410918149945809767021532197218254	(2.8108921601239163808707397614316202284218898368319728268485934247763735942456393e-57 + 0.0j)	(6.266802464136475018695127101598816049442995061431713650347880666729780001595438e-59 + 0.0j)	(6.4994921375110339449616604875057788531125922436595375983503896481678232640593829e-61 + 0.0j)
27	0.0000000022527106426459808581388322448509847608947039914122696553200955581432742147254422	(3.5367097055861041211146194587120025787519549014742602724299247028866672679344702e-57 + 0.0j)	(7.8849813325880268151129147158826633768562307688312155605877092836242044830315482e-59 + 0.0j)	(8.18611861342514050108325951250355409033682839162096176705060424020724384707776e-61 + 0.0j)
28	0.000000002528166144331500114907135037200567838013648934245204300806226218416043758008973	(4.4499256066273724208368589895780083078631904402356332830481606091286800784088797e-57 + 0.0j)	(9.9209478708189528513229882363723399915496811691069657039018036958122459560881902e-59 + 0.0j)	(1.0310426661167418736704976326051005737986571214919522603180733708933257801425332e-60 + 0.0j)
29	0.0000000028373036165162128468308598509499877284319748774004138175539338948218523811110591	(5.598920297168843252982854780516449085296210388991238769128755301713467267363983e-57 + 0.0j)	(1.2482558292552896689774674185956887224326947708172728716715557107293581575155339e-58 + 0.0j)	(1.2985995141234978964507279269391355960794376506054623023792439619468897915972705e-60 + 0.0j)
30	0.0000000031842416015046533877455915338006337729794778220089420857432283047296987857674485	(7.0445638094362585085301654008302130899209218505302521659418365149638538724526248e-57 + 0.0j)	(1.570551114194401930228916113286491475887790409627933211246043049324392658796704e-58 + 0.0j)	(1.6355876751593116591779887697597151585302774649673605490759498982122369882134174e-60 + 0.0j)
31	0.0000000035736022460657874250783361758047371955919677226857288299371612170579277022018334	(8.8634398768360688533420607877362782356966575330614106724648528736236998528175426e-57 + 0.0j)	(1.9760534250476796916567845699862695135477918303069281299833253782106474809313268e-58 + 0.0j)	(2.0600246519697128290463452825589568113965875815444257566768228150397596994573766e-60 + 0.0j)
32	0.0000000040105728808554974672969239662912644281489024946701071724638640135213417184686253	(1.1151902290853343714211294348087320906807552779856513053292695172129481556949204e-56 + 0.0j)	(2.4862426802515031600193992622199246185947824817991369283686376545248868695855876e-58 + 0.0j)	(2.5946035086171672013854113862744337657744371240630470321083725835570824528448616e-60 + 0.0j)
33	0.0000000045009751296080466810610999432247609802131712326254438644815128952548305333910104	(1.4031178340831824314719308348602794353043044898585724431917460021213220337232668e-56 + 0.0j)	(3.1281435340503019847178690566638988568798561622857243730856491529858878406110062e-58 + 0.0j)	(3.267906183563555600638472319517513217228195445960320093988349791330457732323989e-60 + 0.0j)
34	0.0000000050513424688167646339596251998794542433204653012018443580201787643114576075022298	(1.7653789617967448118947884270760832786094970855865694154970999389126806294003891e-56 + 0.0j)	(3.9357566131583690588864782672408853895111496345130182739136683409815104328224676e-58 + 0.0j)	(4.1159316587589119161095823156993912733671066252278784669486811874019605100501617e-60 + 0.0j)
35	0.0000000056690072712074356659391440651323134982708841442534690922724239806392132020777218	(2.2211630230683560711347042013939068290587666411557911620627228868301376734153973e-56 + 0.0j)	(4.9518591807511523383409447890019648740250222080377310570901835758316576441093515e-58 + 0.0j)	(5.1840206901950762749577813095649224950055437032231253341898188297997969853477145e-60 + 0.0j)
36	0.0000000063621984926574883964008092963119030088472361706718617731180366829135793613384499	(2.794613025225980428234034217368691597467483239508711238535859561829383692659215e-56 + 0.0j)	(6.2302705812436223653842806463778596256258328035533645297752937669578536417632419e-58 + 0.0j)	(6.5292800080334582286944047318610434890213654624443939282985933259588981484986157e-60 + 0.0j)
37	0.0000000071401513040133998783780141252457484549568399953522549380408934690073785626924709	(3.5161042651251736474965794897518342199207218787434140005626554574188991637820329e-56 + 0.0j)	(7.8387024306617529455365144464305807160913394636936846986731376271054819333738196e-58 + 0.0j)	(8.2236355991762147744533447481630477284022148785723203480825616838580920154483298e-60 + 0.0j)
38	0.0000000080132301283968882665659366593406326512271645774698290839895464659037844612126603	(4.4238530888682228621544709651924795804482531055614130452784010336773568539858492e-56 + 0.0j)	(9.8623444810007855814195840599591918023627699789217792534004760893088104337513804e-58 + 0.0j)	(1.0357678319822901973819040606919477912038667617001584993383835712830720124990271e-59 + 0.0j)
39	0.0000000089930667231876217414696339349989655925753508306548887896104589588933879299557596	(5.5659409160406402714973549442859540706707988958833907282057261275697954391627737e-56 + 0.0j)	(1.2408376042290105090553069177846471039368832590494789003468358296279040082629101e-57 + 0.0j)	(1.3045507448459489680419762312806917910260888217390432295227165240970938757722839e-59 + 0.0j)
40	0.000000010092715146305713109693172879504395060824590366031813287218180092012582675139718	(7.0028607174607563189078032237808272826661539269080591501259521161126287204496228e-56 + 0.0j)	(1.5611641855793221543252472788558086169147218766388669861798535065971919044795749e-57 + 0.0j)	(1.6430831145848703904069557887601973518971222672181494145661978254664826434429311e-59 + 0.0j)
41	0.000000011326825671361539304724198210210260041204026595384787063961534894310265653211992	(8.8107208028322981298674405432964450059824896201547671533815049788996950717423209e-56 + 0.0j)	(1.9641792970860523912016782771532725080673227296753353400198706039183876182233989e-57 + 0.0j)	(2.0694649990681118681152746911407724637751155577820972655705525645492598239025978e-59 + 0.0j)
42	0.000000012711839968690285422827241840384951270859746255835197527013595504696018666559279	(1.1085275583420447355004333405685257670872762507484948480242135581460632335088109e-55 + 0.0j)	(2.4712270751168883115848441459941830386822603566508917972423177371922922619340371e-57 + 0.0j)	(2.6064934400648238780526428226799580171530593115700112598375368760278054533989545e-59 + 0.0j)
43	0.000000014266210152607374845091296964026459698904040268119862746604638477251868735031163	(1.394699676818867482185906616816855506913660761218600408385029914872435652456069e-55 + 0.0j)	(3.1091609730775606322369054082376951347510170184526581846450360105891647450723301e-57 + 0.0j)	(3.2828813354253308510511993574362995645613259241591465436729769699950949846799036e-59 + 0.0j)
44	0.000000016010644613183178084518411746386751813147679959602537188250621171000683419101716	(1.7547453548740351963133590623805064644024734302822966555624865993295698138111058e-55 + 0.0j)	(3.9117657824002742261313478648281928900836522726689655665049292112391418296255088e-57 + 0.0j)	(4.1347926098480717076866156370238818065591956360927284198210859969102942031432887e-59 + 0.0j)
45	0.000000017968383907677205076461142966434562561557188971071456765677553185978405958512788	(2.2077339646456616470087848836234176758339243029114697516325813928051065198954939e-55 + 0.0j)	(4.9215466866727121737534577956460628943997168828816518088985573628491637645154835e-57 + 0.0j)	(5.2077757640402022588618329886945307863209014052560339305885238443633360498868257e-59 + 0.0j)
46	0.00000002016551038724747107586259000871420688287687953116943625367525055707965349002292	(2.7776572304994202182943472498557634705793095458781666557806527856978107218105217e-55 + 0.0j)	(6.1919800809113517415896440069265478989754765891841708066563246428083205331379155e-57 + 0.0j)	(6.559199181873941720792945834666019379719763646668028379502566775845068969170839e-59 + 0.0j)
47	0.000000022631295683995295356449817017080486520780027790014777797100509151695771233624684	(3.4946998030779417380758401307806092342444958265101192466044610976322932833398965e-55 + 0.0j)	(7.7903453381010045441676163406069046381319362612133863868137494687814119119168454e-57 + 0.0j)	(8.2613184022534622174951568410402606020672790369733111674485143046168713505996217e-59 + 0.0j)
48	0.000000025398590687807254602196683380391205562948407019168506680400434545843252708020091	(4.3968377923195876520270016117997486446959604791268265174296815957883966102088917e-55 + 0.0j)	(9.8012874656615120044778760028082810973653938929572018315686389812831009636122025e-57 + 0.0j)	(1.0405139351183067670459501483791302718919819571625605424918477183697102429029926e-58 + 0.0j)
