m6	Gninj	Wninj
117.681195243499845948464058877008059653696641217054519176860323220747858176186214881733785915075079649235142375790420412	(0.0000000000000000020946288836033692323551573449066881123314806770187549327707152803964634923596303360454814972133227893608691455894936989 - 0.00000000000000000152863712244024654962534956904513737233215034246436840108872400782072601781726293229744827052010872214144936536371460831j)	(-0.000000000000000000112024580673435609366644657924487093894334399824103884080839073769048871341745485429367166999636158137401936786036453078 + 0.00000000000000000188055794242204979647791961313344024571571914988078771925138404636774337096265690102983029623607007372492047282277146115j)
170.735264747069067833967426989296392337914150928097735923022229658816762657110136803249980250796450997289985107431184164	(0.000000000000000003363695568764951478477557005395388289915673226434115027546795499661896883084376372853986435406935639898875659519994926 + 0.000000000000000000129074650489536720743142678505652679451073235429545926368395749193955084366382132999102586785565567195210035285049015503j)	(-0.0000000000000000000951371119185758313677846714624994472800530862670838729389224320498156206158331177401248055063145629337084863746665952647 - 0.000000000000000000205293158952983822628905189812331549467902264262548072395989284980439550506684022887271154176297352582493278075113224884j)
247.707635599171086724505427753637458774064682261636912771452255462819107532834486484454508904370373810628885908246942079	(0.00000000000000000523782420512677798919149920259964313327167181360764307274075006364083628257590120141684633890721029104047736506423897541 + 0.000000000000000000206924398637666544538438905058452544947107737657272738258678003328725657053509335822144859722336397702760488327328836521j)	(-0.0000000000000000000871927638143229397186185297340146180520121853585418649023291517188336840961777914575029219019793216839977070106589713896 - 0.000000000000000000260111834420076369761666643994063181986701060178773135172610396840934111107538441070398479034247286634893794774112471935j)
359.381366380462730218816722903842263650386450278684975953189664143890373227099950360673415840345486857525772862216664145	(0.00000000000000000810799589092863523703124142764856984504439080772634153479697535662716523139781979479139200172013615299799027264452872203 + 0.0000000000000000000104028451990913573188949601975809824360166174903276626818437430790524138636888345375524280350425291835037101805108418641j)	(-0.0000000000000000000781036630523323348529904911703377245238752640716946909130993097504502885311064805092214106742628443793628155353190177178 - 0.0000000000000000000130639162963621236502806804544943065416861486211089810545833032856585391502440712466510464150345729126637136250434100073j)
521.400828799968504522973700530306284769725488843893411579320356041861841973129626993723877817469858618016202601898606214	(0.0000000000000000125215794627049683308429401267541314861365155232700199788329954358684292481560566375943882828122557228607286661294679156 + 1.42403246511949393088808657130596960277230730656673113166342471277076448948287974961483747447375278846497044997828848335e-139j)	(-0.0000000000000000000673052023144028938665492291463259898176967704226075347449922022589862312933452460665993619464935072077737575661169362259 + 4.54775922652429987450846275915986856654431438866262622138252020904215957857877375544743644684304015853313234583712020483e-138j)
756.463327554628870191630700084242361509882311077210629360373016552662124545089903810394984999141452130628209928531586408	(0.000000000000000019288077104472257532364939456129287441421876887341515810291251904843366225041639557465615511738002787392508449789609225 - 1.44591737379416142669170259680982915052392612665056861165418688819485897959879782915860311402022043113605617832560958718e-139j)	(-0.000000000000000000056168013578578080108984886208007601250759071530634184328670033381473630569901703667852135328412685093309156247707189506 - 9.27155322107509946338895587242461229523818458988747320197594327726554439304281945685240247479851945964703752864412399735e-138j)
1097.4987654930561098977530741317955114708037275286893288644589980401398938530915242988500409531203255124767234080828746	(0.0000000000000000296321754556687399708573032358722253209044186263937299358117484231953019032431664383983043387001781667137701497131853775 + 9.16231007344952669449022263209403226778754898660231720640146254512071172850059110503881796284612462583630590243346948221e-141j)	(-0.0000000000000000000456598313138439145235863016926145989874834639462223613681225438540497471357791660407723610879046576738640908368279726424 - 7.3719040955541170201536652607379873266423883871779109584923421935220574670110840478958712223941853111658621773665371709e-141j)
1592.28279334109234607183678963618139004978871820555926100410799172965440925939634685770504859948161389564690027232299429	(0.0000000000000000454030911062108319608624344211107769184275451608706375956792498024397997494529276668259996113250988646539366297184381805 - 8.74017572434031934566798486825139084016167186010080161472365848409867138164357245316945106284168944371961728916543568002e-139j)	(-0.0000000000000000000363368724529552524732241927770338668573699621566293922262566956554886295907119125254830374337555140668964612604991198899 - 2.84037027209624294971403917724589605087487838545342919049883027187288313381044574353273875840064249084614784435470697495e-136j)
2310.12970008315975898383078868442237581311310848620975611655055997949835025016811396977582199470592477632212131298408733	(0.0000000000000000693892014417546268777857293919320115386572745641141190656021113660073716496971125054074220125347733418603864258444097429 + 7.12726444793938878372213702609704682573937395767793432103200721806551894515010872702277709006210528751369289712143076006e-139j)	(-0.0000000000000000000284272854753670154144920142199227532690495033541402297908086461704908968888826460257725039478237408569674590890173819375 + 4.5118162340980923686903633421159442116938147132015580220678187687747898519554669989358478078826408370902908599683492288e-136j)
3351.60265093884214752321138079455035160629860267496775026797943827136341324203217859390735758971938632514086005017683937	(0.000000000000000105789649910451945364328427934071897776529756869572899897548040368517491006619346285178652741775127066267852661914379091 - 9.69528523775258183682061176243644495239095679160536095657571743181668735125858370048670570199436888485199534054303033444e-139j)	(-0.0000000000000000000219351968614359736499376030784311876336970764364790951238624455078540326460101152402884037337854177051219265536925547648 - 1.4503089132383815669407969241834023647835866286554694405132846095071216304278262936867201591165069998926690107861136373e-135j)
