	tb	Whl2l3	Whl1l3	Whl1l2
0	0.01	6.8192341767669188131024149489038156506313527932337174070201192729295452691398349e-29	2.1359943590814313148786810312223109177497598152531698196892024880241196343328023e-26	2.6006088987026062233608824519562147957564417205986866062352190990719928261901675e-30
1	0.013738237958832628959306640160922710114013528181478819177613092599958307411861814	1.2866397864509401121104143407845596400325853935018923174211967241930770984808957e-28	4.030015811595005764093154661611123523611563126223943941725248106061321675183621e-26	4.9066892270071405075478926075777940995790082370455353462142490649727592760373214e-30
2	0.018873918221350971931204631342434726742218968656826046851596965677581191347291115	2.4278219535482420410340174760906001785000820524706297607750258182632624417242501e-28	7.6042413216653550142667507998052252538786048989968736215099783222300670259948003e-26	9.2585394483984962659111600378705359658830841163865109564136771075901801814315133e-30
3	0.025929437974046673951215012362738752356098537488479576683747404108015213145184266	4.5814676125865204362020379965941122166840821780787191431738004876684186033610764e-28	0.00000000000000000000000014349470581831869038870038038861734034964283552913230553807435164067808232928898	1.7471325121473794612304831273290037810868372694290778406531688883870451223965984e-29
4	0.035622478902624423589596848124362646760208187556644854310565683345863025258945991	8.6459495355610616634801165381043038115512468982149829417569021568426082219689134e-28	0.00000000000000000000000027079352715205614185290674783432126478505741675903952105140102698387295756061475	3.2970888146916708780132501498957246721822549099954015491986373996862308483571366e-29
5	0.048939009184774934951308495166382768440101385537673004792083951793588583641605928	1.6316820049635052061774569842390279686191756415950926185025117350253749451621524e-27	0.00000000000000000000000051104245337640417432799728925581826781160404380689071955841134635570054555767742	6.2223016493677965912720794759785324420397706589509397010594911734164724766913459e-29
6	0.067233575364993368332206450845227735732121873270195970257640915340179069214693141	3.0794211502859624446534793996521191707275101229183547262664060988949971340430029e-27	0.00000000000000000000000096446738109378002839306567344217761964741004201534720856239524695954863240237534	1.1743102630009081904276975044420918398480511967974403175638930681666281737451077e-28
7	0.092367085718738621912641280458004821038467316871551007576137747161105114162590831	5.8117975475253974654280617640708070300758478132025285557164381698812521362671015e-27	0.0000000000000000000000018202320461852782124021745204443248287709297173505874199247671997628976272674235	2.2162714555099296163465070487462727961208902139334151884479204863731221527315709e-28
8	0.12689610031679221578970395628108583258419507408671325523457316446583446065123673	1.0968761180746360671838293287861572031415132079149598675697228977136041832635219e-26	0.0000000000000000000000034353602297909600492664060220194819515259650813039650929709361116704885335034323	4.1828194269316739649008446089473102697361672644743698413101022093413343180275535e-28
9	0.17433288221999880117078795512374760016284128083952683619494148122160882999011503	2.0701836430602539461455764406183699029956754769613760512852369943069056096961831e-26	0.0000000000000000000000064836929628484315627457598064266352277617762131554055829110824106079875194486278	7.8944109280353267797571334377383053316904299219948859806272382059386618736860848e-28
10	0.23950266199874854432547785997084113252733184257230380782737663195513291327526143	3.9071785223543788225493240194085432698255515531471094734751537917330336436016431e-26	0.000000000000000000000012237029667292479807857203948933872357657369500021752644872950099378415049891657	1.4899566240079875281559583906380760132612826540074784334053354812842747019086574e-27
11	0.32903445623126682523607134369212201097909084103455092925569743072476969011836073	7.3742854387853312323815913669222425472608443265421710591214294721020452576175444e-26	0.000000000000000000000023095753471002472371777018498016515392800577442855662488002132074328888138659582	2.8120949057613521572721634560077164938092387015291103157448326002595323503536404e-27
12	0.45203536563602431417522135832625915658649537182493604573683842416465698556271242	0.00000000000000000000000013918049963988835200155437995904318431676066984494326987988170654220234122169469	0.000000000000000000000043590334412987223590029078599293654656408758644160871089166010840528214012006492	5.3074778614831686791882117357987322677525120186120009249661429303781601710507249e-27
13	0.62101694189156157812722630228819229975661586105626320239272156195051287742498604	0.00000000000000000000000026268678574970000268939594501526686462104995360347255920486033648337565946851619	0.000000000000000000000082271572965332494462477418996423830141269351197007052455247080748131041771479263	1.0017235522277940918932775290117554762305431101514960503239775488596506488629621e-26
14	0.85316785241728082825608060820294530715751716194991590081026278704584917856620063	0.00000000000000000000000049579166287784692905341196151973703409334452269513123979655408005656476989425081	0.00000000000000000000015527826877199778888351577779238994581671511332955627443145702822008156968907702	1.890639859409229063404811193918535861760242185214909963636190915853007973683231e-26
15	1.1721022975334801790965447253122265554735479827991093099677316207244668635442309	0.00000000000000000000000093575305821375329624314372533096511142985409215750590409565707868040881933844091	0.0000000000000000000002930709097911396252085434528221815239666128344498272038486772987048184993024945	3.5683779192823348427014496068004456749864961722502888061380717916426142509705967e-26
16	1.6102620275609393488501012398230948473103578666561734852776179305518737939847812	0.0000000000000000000000017661367177214377260561728930575702414564582879382679815767657880268705646198667	0.00000000000000000000055314103989775903360328058953917636880612639912957551346343386900594943295687858	6.7349437241597806958424523021234080977419953335060778117486253112814838664746342e-26
17	2.2122162910704489916727329751434716389435985722791442906308234594477970470511248	0.0000000000000000000000033334081596419448935601177451007257399872533624353219477022366611160387855579521	0.0000000000000000000010439994703825043884856337022207754632365632560515633996719359004775822538639917	0.00000000000000000000000012711543263855031347222986572587354612563305000054387188141168345086815668552141
18	3.0391953823131974137696349371803063288044662534908382967664606460234330724345705	0.0000000000000000000000062914964500246128674936688829070384611487831146819203621305017744527628672259542	0.0000000000000000000019704530781972727122322752580557260214788231329733691021929807255789415195507431	0.00000000000000000000000023991862163352079379196527494116168684568035524739442506728499555231808328867055
19	4.1753189365604012642502414497470009642797121713815425416076323801834927118566092	0.000000000000000000000011874654417695185214127664694938827614438430575128100903936742416471932067685645	0.0000000000000000000037190639246252903829927134611282787891013255188569555716138385044140778323847819	0.00000000000000000000000045282593930136824872748334033710426823762657754099402050433182272838917355259347
20	5.7361525104486790069155449911464680903262027517365598128824908404309662067405704	0.000000000000000000000022412481075823933283884246297174133203797195830332112388605318548018874429081556	0.0000000000000000000070194538885182082537128257678415157337804680188128154855769043997295212891158954	0.00000000000000000000000085467439179696207440167796008048756479301480367586605554607117001990437437279258
21	7.8804628156699120238963939650959616422435469520830615419619134906715500088770656	0.000000000000000000000042302036445806022820062390848910271106756189380595659635312021470190569675400505	0.000000000000000000013248772462876891451225834452292341079803596535772468935397452387438212484065986	0.0000000000000000000000016131420826953946888458250086788655207910274665513400231638311697068780277114595
22	10.826367338740544411827995675262436005031371380487483959158871306356671459556424	0.000000000000000000000079842746313355733891658968897291805800848233193854762607442051959614669584837318	0.000000000000000000025006396354724436803458631271599658823065914381753991974945632896851379986964606	0.0000000000000000000000030447215727729812022533597705275812760284814651444819635756396926597383023065449
23	14.873521072935113812248709324062362464042979732199789914551044510409996351888189	0.00000000000000000000015069986069232599089036000953647029453413670588492602427007159561697065333223198	0.000000000000000000047198707747162195276445355394953592640192175597608497067312745608271565218352684	0.0000000000000000000000057467981501137741436910657460049820468295990712143889833030757988954026631903319
