	m6	Whl2l3	Whl3l2	Whl1l3	Whl3l1	Whl1l2	Whl2l1
83	2595024211399.7427	19787763472689304500879652427503.794836571439705126222856699464529574870029939062	181159187515555847283619625633114.88298810633659853070772535932913397193690484451	14303646844899111430105010240642.894342302659499156215146420233982977931492153437	368338169925324425546805165906612.74091229741157637263502358047294230315799290313	151231227740615565975098405178.48466388052884991018393680709800670574235526636537	4164209688705429883200685301211.2383574675848794532492771734226924281808599706286
84	3764935806792.471	80473360711159357122298989807133.607449172990884358947278495839998203470787984224	830200677110379164539415699751263.55413589568424137225650085707054174199989478125	62221594312281107076862431952580.085674428805190846523043541313475087148206598146	1633267662701797949664246121269054.4588830445814903267099161790936742499457785694	680662955149295669771453625511.93251947841476805748274297961200516069837549154192	18566845271636857911755844576681.388000695282676982498731477693969760515186531996
85	5462277217684.359	312354506899922882079065200452034.89209038604165484899946820980292851051322038437	3853049972481242437194561856417338.7328260632062589893215563281552684748665142703	268264284342748803513580777435504.54602721328719081795576647295660091786720111794	7228356589002472841821297191176565.7198941715187175471620435033891850085478438825	3085348088958054564773901448629.7136840327354323672960577344099538024421960965644	82834930644969839151857817383219.578143515542161920265643845090245718139052898391
86	7924828983539.186	1121768083714036914541106624119298.9411305393029116442128446180897970530313826241	18202888893736892069405572160945494.520990922166153634600293177459683387599085214	1141127941860093165624236166602552.1516806270735119900972990162169089432023209199	31901077331773212246266198995701724.089396789382252413585495016527283024661895608	14128153873908224973895204299396.950619587355760995531615292103811210735537364917	369896725610008149813343866485860.62455282047953585893671998748824981480067559298
87	11497569953977.404	3506939599783192571417102335830164.7044455682240971246255686840119672316073315168	88125488722098378791566927882450868.772901175264033911505669469873644612888420448	4754924497825440928584822330224230.3409705620711350585806803365052493744584185397	140209887334775259650728391686588503.29751921693531522716748127085722926555705534	65631092594937745007142362577277.234951393391071998540911541437805572319203522469	1653920658814948760851272823198988.1099044897163597257643714439840855921745733969
88	16681005372000.625	8330956474300543411167569814089845.7892463247662093898891794632584251817453546269	440897159628965984320462897213665010.50578330156635152267056681935563615526421791	19183295376952824099119714228570162.490058369486625215321114302129917295023348206	612488957713388110494736569807112590.96277181541164258821542209842999196026996997	311059242067180892414172830742080.13912321037433195146665085810502941561053234514	7409153700169738578567494707101298.0589890720407899084418222523018034321827386235
89	24201282647943.934	12065038190844196607112753310012729.832414184570814536046162886981747313317347807	2302083913182088876662163825608462644.5318288842168012964601816431580898545599967	73447128195239178393934648696521153.589590224290965457158841731387285933187682637	2651328167574659162412833902139509220.7306989678246448836566885172203231744348431	1515231887275536084573217934727574.7669486415559632883723050835803212621315244399	33281588245369517478811720847460652.034967392293617004568363060851002291858253302
90	35111917342151.418	101808925499233850438267606006873329.24437734168702132512722312717747325496370207	12676272510068311359574761604597825092.288525274566280942464202517975924196690777	257078919721754076538064478246358039.28480632049328638971891317194075235457845311	11320855981284901651061778189286007964.454963072545134646418991872232867859242843	7654799203522512420231550563455123.3857883360003340026203472293093973544868759793	150084782653456982487508035845615729.50802695576399734301503998708967765288983087
91	50941380148163.86	2765936234547480409632168878095446895.7917249593323709785106496042434424794533701	74320650399046234749711699307983331101.491137439191659215411164575976559402445733	759167421277807834278007016968266277.80774644405130744956665720224757155587330487	47338519121992371303790273115801388301.210284559717686588719054841911349062495102	40518347357252337181730834085272864.385062280460875320002080575052020282349779774	680607009039487675426129343254937873.23428717732790848790031031510836204743162281
92	73907220335258.05	46364678500873180532853967881720281229.41494086356622463958313713807445296316898	467132988655898953231656914108492913873.9159729063282153052263170967360204012778	1509733824763855628426255803420735696.7309982706778456135327672690299601709813162	191594657688769182593645790621865678030.60756864546577220559963388284324034987597	227059299941620184502502103976226571.33266703248980074420862010597181323745610402	3111045455813598379451032765407729100.8149715411663359844230575361797477521460222
93	107226722201032.53	608732672320805093925501942375510141236.55564410966924981634463598502293436948829	3155308185798313243155690923992617026458.0916876224155921862952804741264525391059	513771921052598717344942581679156348.63700304295610803246717210135819732092688632	735653652303705443636492960173757352498.20535222493739825105321780209814513344001	1359046133232352586027102459430337494.9715085194980211258422957946504430251667988	14380696905834930040479707389529363790.442214983581135188176204617763290766071155
94	155567614393047.88	7047954593155326332391470442298010172221.3202309723788775983432947928092143956064	22844487590609375025024194829855354992863.188082897716314503701959578870853467324	18191705338316065951933716762870582309.52940143965204262665183153971687002882654	2581436267133680100249373843285152546849.0483842524427050713355011866892358322312	8735443281414573619772550709249828560.5174395516119000627011815846212194933950352	67519703620606753371637123325423684596.197650857868956065797769603039909855389326
95	225701971963392.62	75973367719427973206267265919969103288267.493193416578666502685517863052735582962	176050268548401118883455394804453053911510.76527942352548570258410860799169221823	718600134013084042037338200293382538874.17098731714695300669613576862976759657636	7642013376014049530759434088897690820053.8126069093672538609210993252388447129207	60333844060338784545265542563102886221.641400897535797839924969977356196019945168	323872520718264104499065393167243748586.08926874319007754771680153815474419329763
96	327454916287773.2	784201532665865814804020435506252085139772.13874005207823152773979490348705224534	1430262498060168327920103311431095616621612.3589967142798681229131052481438371609	12426268474226349202323501891017259918292.883308370536451220313751599266403396838	15271791301379761498011206901036606324808.030590552844342456594262405444421977581	445841182056344072830162668705303869902.96327783112078527484622422662984201432331	1598768469749806655117387314451649918018.6395420571875905961868289736659377624465
97	475081016210281.25	7875574881391048927306920487980445998749787.9886302948920037633864527072756421169	12121979661275987760663706132527658707368830.853044948631875176509140546685159298	163686476584995424328150970801707424613843.24052447354728367262587410194111770261	5890887373911909846605733229957834260245.8007451109181867573956830282008447253729	3496158605584687230452916427531564148632.6960128711757794856679446530268876077855	8193039628101736169047689732314396070641.7792154871620529425072841242340462892528
98	689261210434970.9	77694894387445147493090465221705475969888767.434996911899241170691555853379410799	106131932711311073489538457698068846595180573.61561849250405795166325575443491181	1893874294845358266188110754539019096192825.4291731309511434981612823728483050539	191284564966119672910947629078305157447382.41020873204393470046578764224400734334	28798619629596953906468785344066551409411.239788162677291404729195523234914034955	44004413811420419840347698963409749333671.444007549238724119135344392768749982513
