	tb	Whl2l3	Whl1l3	Whl1l2
0	0.01	6.8031231759224485036998691352020386433514844732175462036633675841173697413442685e-29	2.1304167666537026532206372335991551873493563367077921760671163994705686588869609e-26	2.5940739924163107169311870042292465268894189231692695963803174094635626694087235e-30
1	0.012067926406393286370831703097648327681054619541514018611023822896171655598308043	9.9097114336784127019895573556890411306383858759080824370261083387123144924862513e-29	3.1033197251742401094588913268260709036843376673606380933939192104197071367091064e-26	3.7786905540241251264217036233311508983879367072025807890375653578447756996650502e-30
2	0.014563484775012437879551431015760647213295504088978407870255413479452815956562062	1.4434402044411555900603749691637663677602628921350508206984172112193732835205469e-28	4.520349323577911336867669285751176533755520915274174965257338344869489974374294e-26	5.5040736266417641746879247995782014735866523017415201286970247864971369018803501e-30
3	0.01757510624854791881389007655886166993236741554122847989724604641788810811682431	2.102442968551211111330522687374313487689909064806559723942815187769602572426165e-28	6.5842117911377751725467254894016937907926238454192325119583206784743590319470351e-26	8.0170359974397116810214588251538808620545368689439153110469943271816649405900404e-30
4	0.021209508879201907836396125355583367737575633496271870914196272329262573371491035	3.0622411265909563238237503160170727533779000279237091047849809175904275946616384e-28	9.5901241542165615159505855981929113071368326947296852183445330675078224119559934e-26	1.1677030261280604172753180045320445112814181746634776473127444829873414897961648e-29
5	0.025595479226995357855864723011921338642165937028782850254378699345568246061328799	4.4601146754134861518805930173390890009334007772806207041729983719894141652960393e-28	0.0000000000000000000000001396803264274286932835885119914582586270152820880986218865597684308776711031263	1.7007553284235073619108666896787775879815206385582386036741506489099641669933964e-29
6	0.030888435964774810024309268245631085834514206254223003826152793842376421873227427	6.4959936858832532581223030435985086156168386383627820715795546499044608021688446e-28	0.00000000000000000000000020344097644473721152067505824866555095088484047787639890720056821137194690160859	2.4771009299609890809384188072239015442527100526277861374715268607864844876828579e-29
7	0.037275937203149401661724906094730409920771828011093488533716004749210918776517449	9.4610490795153892068656857933909271463332165765421927688595797801412787198125453e-28	0.00000000000000000000000029630237505384879814247396453313654000985927543669788372100377356520917777392395	3.6077736992935837869171565516228138864773720221031869503124694801478155210344486e-29
8	0.044984326689694456873860736695528310503248313303876439272592381251367183021484705	1.3779330854570297156044135026009166980080366170805338500202718405369717234193513e-27	0.0000000000000000000000004315453582576707591412850356470535551544141157118792136552181200880484799896573	5.254479130462907341411078658129688223690356083487835843078305991212252498316778e-29
9	0.054286754393238602676798984874106473943548354354393201062994322287812924626477909	2.0068407954081648814277552440272903849053310289027014839784166029795449551556528e-27	0.00000000000000000000000062851160276488728758580386480864391877433216581229291169290608192652875535819044	7.6527185475613938670358706677785600182402728518240680094904676726861723512919155e-29
