	m6	Whl2l3	Whl1l3	Whl1l2
0	0.1	2.6279206563521602087750138521591141097341853725414954269096875528154721068973568e-39	2.2936490404210118727328404965172987048576395017681844337591663869321740545325911e-41	1.1259745088317417977979437654258292347880744017673479197320748717967844748538853e-42
1	0.10471889027960933081290643478024059715560201277293383687835060071686681346584587	2.8818145964992455141596189328126996456588591454410627627644270868946400836421502e-39	2.5152479611528593750155039931793237940547691208889777458093693495979470612024212e-41	1.2347474349706480277134852452549901327949281296833078013790734892505633608893708e-42
2	0.10966045981392857590922096925729726358144013044772035559224164506243417725400553	3.1602379250759288720479979274456069371487375621801341359887320326219701052773552e-39	2.7582561892268073260588743006795743738516783660264902591066395863197876952762213e-41	1.3540280536465129057675722777349222714156935359711097807185837578304669182860358e-42
3	0.1148352165926629479370254786688223470090997563117659984539685823622985934016352	3.4655604315099959700027337524503798598469357132285426792230590299715736279090544e-39	3.0247420852116078792710512649145613622673390885813313683710716824711910246319117e-41	1.4848314034342220534871599827708304866325593645701675806891318948971991307501724e-42
4	0.12025416446602244117322754323972695609673728305494798737363846813118766280969368	3.8003808392215589841175925820705217359582635979213993726230520106364281054267711e-39	3.3169738243507708207716378951697282649627203273071020937633550360329595400782895e-41	1.6282705701142752412378028234078200042222044676292247912708719955837323180946713e-42
5	0.12592882654383499208560412690452775959855648677502285140025714700808668822995601	4.1675489195714424723430193518944016379252700173972905132201985988674968090871848e-39	3.6374386977495783906068903488391799287207055131175053277846851558257932778565804e-41	1.7855661565288924494980061067919347298301036062931513920021172102206285208292392e-42
6	0.13187126969883811634339520338280586450750375033493061587150942136022379394214065	4.5701897414817842194649428825686528731830813840162831919923688041390389513635914e-39	3.9888642775925383600024441778846064485657963548925767947719686968103366769747509e-41	1.9580566668962983422808393017559898840994080491432137605613187460910097749553631e-42
7	0.13809413022625399307111635719636523277271682029734160077802077037634593202258802	5.0117302629013655563908082503065766065534386254200566509461742059513875563341196e-39	4.3742416263404846391746389522566713451651023985729184596194317541653418717579935e-41	2.1472098938530016541634375638507918550349781112933018899862138513521781033896814e-42
8	0.1446106407142117435422823046518875951538468044708242638863084885412893787394583	5.4959284901761549459320156992925664607227837772874183907441860208855556883048704e-39	4.7968507472149706986532173252163737862422246692343108818742292434003760087544917e-41	2.3546354050077011193452393356242995054965423475540318876084541992248904821206778e-42
9	0.15143465818215545487238858474053061473640410735733824359322869184614244530825691	6.0269054531890741236127762337579944131546865543780801579201378333835326878405656e-39	5.260288492307960841725232910271304041146498937415947461553652722511266447772701e-41	2.5820982351242031979694543767988199058594085168069251891803971080371699316318369e-42
10	0.15858069354707280477875337020433493049222643701730581418214539332224383233836813	6.6091802680360396652855218083474857881329659171847720145692386830561630906149345e-39	5.7684991655176731603443506787827699453921389460825120534567253786305171750150211e-41	2.8315339002831639092727185788456281701738569855073653999148553418070871056721984e-42
11	0.16606394248020268468161365133293915089041328167814251138688672571029985410909197	7.2477085852094233357071465357231077594520827418707915536985255511337706338213247e-39	6.3258080803826640456380852273251194353497999859811491919468211102233315908865318e-41	3.1050648615898202927008248352573971405730301704211091008550371475706404286248396e-42
12	0.1739003177198369994392104333159217433536717915652193242867935849357447303573797	7.947924749985966826909827904525780183773279220035816219152672411882978810899482e-39	6.9369583579585466647310721418670490344278416022892441590509733192202670629827679e-41	3.405018578291636868896336634547679933692722977645705081934469194662417744430986e-42
13	0.1821064829089281302800017746045414329799903619521153567139554888839922266395346	8.715788033205673893107084388098827914407197404030943248142533051416121261962337e-39	7.6071512773661471502085069939442579494976702229723518693225798410741085831881972e-41	3.7339473036494427524853018941310731385345509393202042836299794175473888521220949e-42
14	0.19069988802945596715554552332227360535633008333939752476634734882405182829398901	9.5578333251460966197111835045196738873556812883194570112111740448972287710604835e-39	8.342090521767555355908255762604150723047703562903847229236404931173878331530309e-41	4.0946497916815098379673237918439369496304264806300436829187761179838868465487566e-42
15	0.19969880650890384262417553878657825523898036171462028105526320122268531940090676	1.0481226723032722484325668072100133428651810796736152310363676107463520623694892e-38	9.1480306955505316843485544730540277736801955764081737042366820119881749154771634e-41	4.4901950990962307021330463503091968835517166898727606298323109329358863293763921e-42
16	0.20912237407774835168429036886475713987550762801338705531483091743059562795223861	1.1493826484198381670971531750273465851625391311470418154711978826560165304100376e-38	1.0031830524699232601001265407576359232702068751923840944694427050231571107730148e-40	4.9239486844814894709808281021259608495818601161829731800376253313003611821930196e-42
17	0.21899062946059148161594025932578946717139439716064843553059441475027574721946197	1.2604249862360365822400249925598700568132206380207975977237041856883516609014525e-38	1.1001011192003640522112340859540329957980906060883922995554372769374307111069363e-40	5.3996010262762575547958817356370218790957781848682405888752230851668186325298692e-42
18	0.22932455698746262056049807686339338958993727736911127769471748417971419791081453	1.3821946394303830578890600417726948563049367538071409531950907207380644983123304e-38	1.2063820302243583406259796446064078314411164316641415634089290891958666202072335e-40	5.9211990023752515812526733565977058398071763872790809658390571738906528817793078e-42
19	0.24014613121590115459817186219470680003729006199083861990602039115435587452557333	1.5157278258860567272173114991288495570207305679490694551669050880044277058131292e-38	1.3229302020139358050962697331419662166678617154866624883107326543802753957612842e-40	6.4931802975889190786322985625223032764219323409127634520995449473428491415791553e-42
20	0.25147836365870618305825495974669966093856137353915183716668423059758804191681162	1.6621608389909199068724172227696020201642856300937477230773227111376949015447018e-38	1.4507373976087586428670550559134314540777956226651170067871882783800488492091444e-40	7.1204111307936430163482672390707599277825327808418877467153887510573779775437163e-42
21	0.26334535171671747302532829259612754877233976801759468877586544652003677642154924	1.8227397090695037923832474054040581722623389757809079646178378943068176054725306e-38	1.5908911591933364778931560811621824130096195851429454238128931469463259194608898e-40	7.8082276216743240294813370165800691080006581854096992749518187433940934590381291e-42
22	0.27577232992068065785018174098152125792821964545193878328914183605507054994425379	1.9988307968620860714809417353000654542816262992732552619901847871381935379500118e-38	1.7445840541744254517113121657948639749025186252332440549375490394508411450526522e-40	8.5624811477169127958076581108729777036674303701521057280369421448111132320966278e-42
23	0.2887857235911598316037839162616175741779247630130538055263434644037795447240376	2.1919324088390522949184342194399773772418094478258788465188333500287985045530436e-38	1.913123813126911801863816769397203658760839846848410606297211465502460664645098e-40	9.3895880758074236869226097311905417875465316893634217158431424299103987063072839e-42
24	0.30241320503060254299780338928338146320943593376969469963289056360726206633109257	2.4036875327648254993678636866218072967845389454137597952124347769210118648712054e-38	2.0979444455054859855258058548120112037937931430553775262843559788149728871436317e-40	1.0296584289715754664865829285206734875500329141852445248611193992732150946726321e-41
25	0.31668375236704668221500290239798633203616297398553378715839791893680440259266043	2.635897801376120393754569502983453031802430622547106825722898771768499526581961e-38	2.3006184272679588638829144524130617796280693658781158944735798526825941963455465e-40	1.1291184975192616097204050449804509277204908896637456840561468470139781760088826e-41
26	0.33162771117459733218407942268279842020825304571751118100294910103593860193412409	2.8905388023921212013518407101137149094013133968046479431092648252196629445653387e-38	2.5228700635922312434981403697514778202477428863661837127350187750481201944694539e-40	1.238185016871979172107709017851184339516519913659778382781888372762122363159551e-41
27	0.34727685900170631223823046252234628792972664699959445973559182534745683216086916	3.1697768644146229990396909837553051420353857052714972368534436330863576772804492e-38	2.7665901397670922510730284038480530200119431609792472822977236062967962437751319e-40	1.3577856624492537662586320685824363953878995867301736443703485060366601277534599e-41
28	0.36366447294447043275856073753986505521768347162001674365096622815173586330536576	3.4759874606973227968272279364503969719958436009978371786227372932487078629449631e-38	3.0338519841784596138372020180968589557089018219375750073496974071345548409207636e-40	1.4889376607376611780191032026054437436595038104184381704083739175443411795721314e-41
29	0.3808254004086395527672781349871194396668131229372129644643082959463599173231722	3.8117753863669854875023270589285719503543901532755501578397927770821770896037823e-38	3.3269290791861436328467525969452488578725627886621018471202367615410396086780378e-40	1.6327564277806368346704324860287472289375346758037906589297798138059279032393356e-41
30	0.39879613321080615740702644697824356724989733252778290122970023104216481280448247	4.1799968795761621256785374433388803047564622370495485129905263309263645584737787e-38	3.6483143686886219553838077703037917776733012523413243520970361554273553841943566e-40	1.7904650398349646722826838085895219200328792529468824620832831290850979578765398e-41
31	0.41761488517634876746677289013201059446649769368796879725681502152847459567456241	4.5837838733786739368278256172447753695146704808477284645142489929946688515970636e-38	4.0007414254104190272356427056986460277128391774297424890762310298021729170770339e-40	1.9634046161478351489317169235382435198858003270216993095381757940087520296062002e-41
32	0.43732167339913715763656207074291493085518967453196324008420105560159794180101029	5.026570582977393231793379703727799873856514297327265940167114031135369271663453e-38	4.3872076565338838200955950366819086732324754277529018143058074363608900368212754e-40	2.1530457014516380416437909848007995577723069063906766057761653883942385344611225e-41
33	0.45795840333579390554568969064184400120684728236510718014744553961352057693623086	5.5121226525431245278038851741605136780742972090463222416158116481926308482460175e-38	4.8109997433602963355726347280950403214761924635717563744980832046639416832073675e-40	2.361000744140586062250850454075906546422151020745701498699580251288874658585948e-41
34	0.47956895791546077754377900569522536555038287098240061020252256619216923816587687	6.0445691072007797101796555676660638328084310537238247654545643237841884317500436e-38	5.2757215293614926600735405629131275790047449260566829107358477919301291310302294e-40	2.5890377752511050700457410961607903584682739419338011450962722708897635327903704e-41
35	0.50219929085455721864306340342335236272018040104515602592459317127672394400177198	6.628437379195797339771436547731567433814018485850574279788847790163850127530805e-38	5.7853245914220593097942347670482297337879279947601275195665669834071440676691964e-40	2.8390954033899571625154823024617210160678245366443233555786873060560294845875853e-41
36	0.52589752437495991028347812235309322725228507718923406975010930937578177175313307	7.2686917028763783405493954073449943435283590191896866237902425438772384302614504e-38	6.3441417514364049286355467872067256071873080521048721335116902968369007172178543e-40	3.1132992517200927252589179997960060710919975399474595944214973134328489016915407e-41
37	0.55071405153339600466032105202726876707657079061132992572129589037801598311910394	7.9707752011586015164065405936876672332178989087023323943634385200118999906098192e-38	6.9569238098918728863545044954729945639822268065765058056114557028890488743712221e-40	3.4139799751111274264743067968667291164936272251977966068375373193716288074753361e-41
38	0.5767016433796481495698097331507172045083364658457974114737362162767670783124459	8.7406560168026827088123115469621976971943444475202849367280773427122383265223447e-38	7.6288798098312856100347538046030480734196384931832838436239062479707893248103073e-40	3.7436930086836141185865000973968146183783908332534678429899479965736164276258477e-41
39	0.6039155611714376339759128435534911612641318760561044722998203301548191296769498	9.5848778753596470524793519212567141261201700989438245489490049386628377175764979e-38	8.3657211688554955025021278043166311065179139749690819619703249192904294461867255e-40	4.1052402133266723190646007471044969459689775539417337383405516794586084303855419e-41
40	0.63241367388460474660830417426637144125496916928872358412804404646976581906060923	1.051061550330935307712212623736454909900241841736809305906137168732272529683228e-37	9.1737100488263697483179825063266163339113620812982479837376876374320905018854155e-40	4.5016935994586795250561873273050839703881186583135211060631873240588318121040046e-41
41	0.66225658126846561305358853369316478884666236867031342206353934787343344428792111	1.1525735364986354557962550053226113638549540324904777029402566059368484875433687e-37	1.0059712367910387620170677315456336004713225701047745479602928373659192977976787e-39	4.9364213274518169985989490071291346073263239839597885284783036939997437625649538e-41
42	0.69350774270801630517060158347728009874886685689130366249253643180943246963869912	1.2638862225686761705015168210799663355790460312631868446844620722508310998467461e-37	1.1031255897830896367243864233175692703448892099730889666329168986681864191624096e-39	5.4131162018847831742060680343426960196762726676874757310365894283572742068124764e-41
43	0.72623361216700297431524389789076489765718818775245387827806549434956404914700103	1.3859452096200120381596104811212164195172044367147730887481142058122937180392007e-37	1.2096593930963802229312535120220819280807665067333508808253996744101616144566232e-39	5.9358268972664694204702803151928584655200156682224964590491861152122019646653972e-41
