	m6	Whl2l3	Whl3l2	Whl1l3	Whl3l1	Whl1l2	Whl2l1
0	0.1	1.4453425664191673909102912327786615634076148154506458719616248902756704205284041e-30	1.4453425664191633047635453736303235514065723504802097450283996921981303771486539e-30	2.0076863779231694099072990250243772497740034622186972319225277109261457625316984e-33	2.0076863779231014441724214577608412296405332446487773331414226381324068495688736e-33	1.2221136728730009684860132120714947558563750287437133120574471929339463470089183e-33	1.222113672873000218528110129739427508640312590436803724385673893498224436484884e-33
1	0.14508287784959396764504968755324046378427507635654563276647814584390675009297793	6.8654288406278798322239798025669264160602584379869729175003699744051537207559728e-31	6.8654288406276987906505330383718871563217550276681698916892992077755665425640264e-31	9.5421512865726274146782439245509423266060280413537971255799062382778184027704152e-34	9.5421512865696161121060053875598903449247606417356741276180084811328310388119826e-34	5.8056107093202080704266023644103862296702606477432125816853798937033383633561054e-34	5.8056107093201748426454560803616581697457757477227986851679252452603695625082374e-34
2	0.21049041445120203937387356815208169654299148949741970354701216050135377514343165	3.260515812948281926635749319266386869914956258715733582955859210445612932558136e-31	3.2605158129474798010862442516372593994012816118928868448686640236084497119444086e-31	4.5373111262100342457433291298116204063283148217918492581636947236734029450415769e-34	4.5373111261966923213438780667464022317648475147605084115733649895485057889796843e-34	2.7577161095460363981461466801541026937890780107162196004538326909565457487195204e-34	2.7577161095458891785627122121284262455761171851689999924061995895612233175900849e-34
3	0.30538555088334154345476500526598993781276221506708185710926397704821180169535223	1.5478904595732217952036481079394364154532318517894855129777624851341997038847631e-31	1.5478904595696678910801431142425560956695359038014436186729374962815131533732573e-31	2.1596106023218944624212171563228489180163502177441184369504340497745124587667684e-34	2.1596106022627816082039017434874100901809184334143157257973700109562064629070645e-34	1.3097192918916722256283365033896025350903902091258704301559664804001537734743523e-34	1.3097192918910199526586453516134072386261083286461592174400379326111661729789406e-34
4	0.44306214575838804334485176623120336230944186957900350155673256779767858017574538	7.3425543454437228711238257130247779795216384501005428019578956109146640727780523e-32	7.3425543452862638162750719333303815105824804979103892330788322896977117635921464e-32	1.0300189897220488095863405627752210483616795221636523233332272479724046228593213e-34	1.0300189894601436433387149635194563830133389076550017211410418477510501401467035e-34	6.2180359326843959166243912523335450051162423720400089900313366414689763748320433e-35	6.2180359326554962894586235722129146758249369892893727856429314485480199059664391e-35
5	0.64280731172843210539070017342191484064017644768957098083691682137880098468284206	3.4771445207285205301277497026436880940620747171783380343852382858968515592797333e-32	3.4771445200308882386515890778774523590284957841739709205485022042203214081149045e-32	4.9339014375482155387319174059385139503491494472732018500882286886721696474365979e-35	4.9339014259443302568993713431434260114244038143738004045847544187568820331155932e-35	2.9498812508204691092137920444128235529142839657951303960694096230418341523677198e-35	2.9498812506924269107675934041114139270439277563008498310477835640717818130534629e-35
6	0.93260334688321986951856904900860959021768936329532855825067494399738819905957103	1.6407945528074762193799635781255996096315046956478158889043902288691361036243429e-32	1.6407945497166171924059446667197185977924384443586550520960814440661135055304506e-32	2.3848739968475067626383939573348271781603167135608735229102173884593512088739287e-35	2.3848739454364006211275294969461135029995055684685560392136937718183055684296248e-35	1.3972478357100054305205533050186710289464583996996473927663398725609802605030081e-35	1.3972478351427092687797349447425224004430728518807399077220952190372875055700958e-35
7	1.35304777457980699410885954748953846170789002407826848599162803796495080851605	7.6844897211207976099563949728534555548524323191472295609054392523370913621025688e-33	7.6844895841845148871260242644602945776968024835363947852518065853347022640150925e-33	1.1747084729865133464661655792773473136580653405973826461793862716549139838329655e-35	1.1747082452156455299908499686270305516010277780795508847033883039346848486927048e-35	6.5963173630995577851031594856110072264085394957414641756427984295269145359941921e-36	6.5963173379657775830543142553266515226642915473691254242822319492318534193002553e-36
8	1.963040650040270920285984207953038166253412846035027681575896693716236399795955	3.5416169605082836414816388988242742789004403327332289527101931558447116613999006e-33	3.541616353869876722058870865745668287652562262003576840587490226981937191580276e-33	6.0152384553089520654446518107625174265119432895638867751732803331814811087674884e-36	6.0152283647894391337776731880006818786358636137593328406627954438048072222371334e-36	3.092274131158323876826621153975346781876271354954079471159210113311399996532863e-36	3.0922740198090601640162063218410659169010573131650073242035206981836096490588833e-36
9	2.8480358684358016549075949054968996996636446425400303121158259630624213538858219	1.5765649766957956505024224476376887844198753254718440081959148901268654844089956e-33	1.5765622896047225451236461090547286599278488160379116684615642106548387542998484e-33	3.3288326141396758790044335897145685623819661057135457377227992854208541129488132e-36	3.3287879175494334283336357181082142543872575827493572395972477985551122928272765e-36	1.4280747166074169997068032131221155819645990133382303080581012320990637482046976e-36	1.4280742233449347628872464764458314566739140369707933391396177323044954062293694e-36
