	tb	Whl2l3	Whl1l3	Whl1l2
0	0.01	6.8192341768316634533316993878850462163401817274805507630931617206983876173886526e-29	2.1359943590970047761889263236463021507513678471012799562567413995539328087381278e-26	2.6006088987023342355868514735361651607518834935022733318723736599162426540785784e-30
1	0.013738237958832628959306640160922710114013528181478819177613092599958307411861814	1.2866397864564773144160085640164195204981671783262168344117129460823666562443362e-28	4.0300158116104274775622051549834831978610910036562270751025171000465329938131928e-26	4.9066892270068690217210113131185013933402999339910058577694633889712294374628845e-30
2	0.018873918221350971931204631342434726742218968656826046851596965677581191347291115	2.4278219535533790976325883569363635520722629111634394068936333947368994597851571e-28	7.6042413216806669500760628157786509032442843547149292434173105417245594065502296e-26	9.2585394483982262550988416596333758666642769890994378827412755384478305230877453e-30
3	0.025929437974046673951215012362738752356098537488479576683747404108015213145184266	4.5814676125914664433024145527347846505632506576139806205601554239398810091995543e-28	0.00000000000000000000000014349470581847102777944805069289209363926209639750839910698261837035449981324848	1.747132512147352718620612489247892672883293188797380060263216830887156755905729e-29
4	0.035622478902624423589596848124362646760208187556644854310565683345863025258945991	8.645949535565907015634570327917670793933294763691401861776531105542473205888904e-28	0.00000000000000000000000027079352715220794844866442303518531227384465880240639774588212242622172093237022	3.2970888146916445287265945308472200709882297648023166660721081917930276335302604e-29
5	0.048939009184774934951308495166382768440101385537673004792083951793588583641605928	1.6316820049639839719243066566239445118773124743493977733322733630234080597584138e-27	0.00000000000000000000000051104245337655567548182058282183688869962226572488962007168526007500632780461919	6.2223016493677708059331562709688638724162719009419408943034534997849342902680987e-29
6	0.067233575364993368332206450845227735732121873270195970257640915340179069214693141	3.0794211502864377111098068206988686679862649551881363960710834533408872114958354e-27	0.00000000000000000000000096446738109393147151638960269918799084443177643030787161180870974991411437351466	1.1743102630009056903687821405985955407522815187617043085931815850467975213303771e-28
7	0.092367085718738621912641280458004821038467316871551007576137747161105114162590831	5.8117975475258707187137099990583047671420119731953581368138690836790588838406431e-27	0.0000000000000000000000018202320461854299391166512487496249039421364430496164068913865250631665902653497	2.2162714555099272236780722516111718995571463297094133945858981810423253577252476e-28
8	0.12689610031679221578970395628108583258419507408671325523457316446583446065123673	1.0968761180746833402493011296081898867544233444894404792475539348335750343047771e-26	0.0000000000000000000000034353602297911126185678665228801069076346798653997346877188373124543046521069206	4.1828194269316717178392053224084105054939510276025922367654920402287023529659129e-28
9	0.17433288221999880117078795512374760016284128083952683619494148122160882999011503	2.0701836430603013967682625988028837674137600787719075184447644352034315647510725e-26	0.000000000000000000000006483692962848585974058793374324019574304047746748703069247745689848672038302943	7.8944109280353247296705323967765450750192249838441494750068141515149445393333598e-28
10	0.23950266199874854432547785997084113252733184257230380782737663195513291327526143	3.9071785223544268790012551502438733953587247908641780151392115927023004246096893e-26	0.000000000000000000000012237029667292637914613364407360746569044384738395846986775168496532562223550552	1.4899566240079873500354331698399795192065639636416572451017352332667387957603927e-27
11	0.32903445623126682523607134369212201097909084103455092925569743072476969011836073	7.3742854387853807204105616855918154784519190276515039901266040528489763800089999e-26	0.000000000000000000000023095753471002637654111576674903063051825334672099301338138746530399429664376521	2.8120949057613520169997769152415306237463747289624545598698787093721112453192885e-27
12	0.45203536563602431417522135832625915658649537182493604573683842416465698556271242	0.00000000000000000000000013918049963988887687060343269246051069173023564201418177270781647753851207830866	0.000000000000000000000043590334412987402599578576456667917276644722833294303665682667920727574942940879	5.3074778614831685959535298598052662114719689126748942481443764798753572590077613e-27
13	0.62101694189156157812722630228819229975661586105626320239272156195051287742498604	0.00000000000000000000000026268678574970058640374762021019567429409847830263827326982947955283036561913552	0.000000000000000000000082271572965332699517209809817494626433397624820762547701429834628227478277102527	1.0017235522277940932256204674145082465861602140599053270308356388131694898857928e-26
14	0.85316785241728082825608060820294530715751716194991590081026278704584917856620063	0.00000000000000000000000049579166287784762263863829665430592260683317247447479409116174006762875599479997	0.0000000000000000000001552782687719980430707312469546063922468122390988376125259387574765153608758061	1.890639859409229083682078671580075857163308825534631179556390133861426632351611e-26
15	1.1721022975334801790965447253122265554735479827991093099677316207244668635442309	0.00000000000000000000000093575305821375418484746425133774582766629369316259926984536798973102306416730178	0.00000000000000000000029307090979113997160920177666027993999657168087547261344371780762067180542804	3.5683779192823349055008653149353175054392835570154321875022143943524757576635111e-26
16	1.6102620275609393488501012398230948473103578666561734852776179305518737939847812	0.0000000000000000000000017661367177214389384963818536284027360670616821076001452336464791618381579918259	0.00000000000000000000055314103989775955213300156396026167837632811986822388456746328938181630527898479	6.7349437241597808629933975241535683510730145330838886848145111868102235169790322e-26
17	2.2122162910704489916727329751434716389435985722791442906308234594477970470511248	0.0000000000000000000000033334081596419465869196046188987941914501715069720238328257420281597493064742897	0.0000000000000000000010439994703825052262103021696046906684612417335553987283904357098437398843013407	0.00000000000000000000000012711543263855031782172013807267184845822481121946260114701414218412939606097988
