	tb	Whl2l3	Whl1l3	Whl1l2
0	0.01	1.3158087574161857511615248302492243292249618635467988703562592211147002651491443e-29	4.1221750409102439577039156707056403057349642400054051459190344695994405875269428e-27	5.0183947562017333290319184688114038804199356834095898358482121324120017950365743e-31
1	0.013738237958832628959306640160922710114013528181478819177613092599958307411861814	2.48159858522159181773121477085943375961263652486740791999314073532349330549302e-29	7.7737694572529425372834138394215486081258853000966714930604384630837069181104017e-27	9.4643035950115729288333976488530602539435422979303967853779125712354771174720586e-31
2	0.018873918221350971931204631342434726742218968656826046851596965677581191347291115	4.6812223529856055643182728965127130590110379396829585608961942754720771401947999e-29	1.466341022254760205662683574375595756419313509016391925187972971902204215058586e-26	1.7852723784346529879535399077102477384834881740999214482994735198600376976775253e-30
3	0.025929437974046673951215012362738752356098537488479576683747404108015213145184266	8.8318427191815597630117689609222211279581609130788204102049452525105032937428461e-29	2.7663636872434541220910205977435104214585496201191075716133714418313538514191729e-26	3.3681180932626176106576351910747940430234725996740408666168060414038283506069306e-30
4	0.035622478902624423589596848124362646760208187556644854310565683345863025258945991	1.6664411131634404466653029341929716573306259967142406970725014056756705107210224e-28	5.2195732116937830689663202196088597006209970771401439265226919698147260144092537e-26	6.3550495584328874391112777418828090034641943270685345933845965106205948783065912e-30
5	0.048939009184774934951308495166382768440101385537673004792083951793588583641605928	3.1445783486642852948147911988605037276427041774810301928165039070986821863017168e-28	9.8491338476282338802699656898183641085941846508555539044891736264456077299837373e-26	1.1991848443573463904198637445957305600152648734766431652169277701742501315227083e-29
6	0.067233575364993368332206450845227735732121873270195970257640915340179069214693141	5.9341624614578611607059407161587842780790831043124747745124878458564153094855004e-28	0.0000000000000000000000001858609779668677839669368542805954488742726562513321300640023188802853654045681	2.2629723007240375390475439919111961783743785454087959852063835862330763995345886e-29
7	0.092367085718738621912641280458004821038467316871551007576137747161105114162590831	1.1198873145991322389193588750144769922875022430035601487965056099362457182323205e-27	0.00000000000000000000000035075038108869512635491949697006928289818219188365711924850280397401371767525006	4.2706231831551145129828929850002930040631329011221597570815469076874776221931031e-29
8	0.12689610031679221578970395628108583258419507408671325523457316446583446065123673	2.1135000691551313254596938532959695878171104946209855393742546265649857967484676e-27	0.00000000000000000000000066194590892447420963620915447933666775628523018401920002737046345552648045331883	8.0596668052839695601146945218236337466575303849153816165897674874065070001793861e-29
9	0.17433288221999880117078795512374760016284128083952683619494148122160882999011503	3.9887770767267024525531789239914042942253333201294029057868573255455078872635151e-27	0.0000000000000000000000012492731768683761865925799753020776142421794992475650217294692879779274356307642	1.5210835084941797873526611893558124786591517878536899428766892986532887933173469e-28
10	0.23950266199874854432547785997084113252733184257230380782737663195513291327526143	7.5280815066551763304744945994885302684815887134897953890749153123754818676393998e-27	0.0000000000000000000000023577628356539325816312892848367788637460143008080695844261464508641895557164482	2.8707574995344700597478377058807828793383666180484235372008578479307340715314004e-28
11	0.32903445623126682523607134369212201097909084103455092925569743072476969011836073	1.4208038318632231121900664698990445343333206659914518120082720065333244394009122e-26	0.0000000000000000000000044498834242005180178901715120373924247922249055299285113830208964659968229879681	5.4180816353278459320802395923125058608085183961849723391044203291277042562679769e-28
12	0.45203536563602431417522135832625915658649537182493604573683842416465698556271242	2.6815625694953071207398676542160756275455558742053105655633316963904420431834083e-26	0.0000000000000000000000083984971574141059016138686092988531813968577558090390091343666350412263929289215	1.0225836374858849583009155686226289120482654052319007927758135325237909294167756e-27
13	0.62101694189156157812722630228819229975661586105626320239272156195051287742498604	5.0610999435072863901523087876018422644338976831601249959209492662424472125721789e-26	0.000000000000000000000015851049494173463940834867609998965125019899270289645165580919984424635998476397	1.9299919455045396086710315110825773317567042501859679522355055047892152458258014e-27
14	0.85316785241728082825608060820294530715751716194991590081026278704584917856620063	9.5522247115282856071834541623036833701967255457478306211550811590908344835889232e-26	0.000000000000000000000029916954481042333316569633916971586360721364429076995367234095139107494688278295	3.6426291507532759665758230906256196061793209757931930965542598437333640450068152e-27
15	1.1721022975334801790965447253122265554735479827991093099677316207244668635442309	0.00000000000000000000000018028787636208925585472327591041131051234376763264402179798034605950052523328038	0.000000000000000000000056465004272064479587702026241594149018891818121842893141622729839517149528430938	6.8750671974174889042619946395718491238820972858826655318859655204726441472751344e-27
16	1.6102620275609393488501012398230948473103578666561734852776179305518737939847812	0.00000000000000000000000034027564018509739314748297211337645493926462463835168562970774196374683107025378	0.00000000000000000000010657220239800106805936884980373334151153328014188622301827053983307760043588336	1.2976017683161542196186202800579325557747493093082893031052012078825949621270177e-26
17	2.2122162910704489916727329751434716389435985722791442906308234594477970470511248	0.00000000000000000000000064224055447882939854993138701398282805819730814395227914136664764525170360698801	0.00000000000000000000020114595917137820278356158147057722916090237692688189747703298741282048931281547	2.4491117411586210023830356335345978813652047070782568979103273199036820533600366e-26
18	3.0391953823131974137696349371803063288044662534908382967664606460234330724345705	0.0000000000000000000000012121811440915774891511571001387054833243567079387207833307210597076553326115274	0.00000000000000000000037964870714624402704555987515744555419462797769787524185232420962866920426114919	4.6225209792600478018481593618236003132777898413960953912065649804403082480150025e-26
19	4.1753189365604012642502414497470009642797121713815425416076323801834927118566092	0.0000000000000000000000022879202416708931560053610541586598467446205442445217695556101916993752217957976	0.00000000000000000000071656645113185051477578243164120383425480790774350823512238697801304641991163869	8.7247494871686945410302585008062584577161738893660298477929511899016123099763517e-26
20	5.7361525104486790069155449911464680903262027517365598128824908404309662067405704	0.0000000000000000000000043183579730058524641339219010772766199488909744293403238931563929248634580397018	0.0000000000000000000013524956729978419973846187762468030712401113367143307584306580492341829532501327	0.00000000000000000000000016467653668520181508412289880886127149460778924793618850731762662916522833378717
21	7.8804628156699120238963939650959616422435469520830615419619134906715500088770656	0.0000000000000000000000081508298790320908380668292639554468552768696375675513384937790299894927229064173	0.0000000000000000000025528264888796438405709740909364866235084626775518850383760025137714174563651786	0.00000000000000000000000031082522532770128652139501577109422758166944000526554341869284251857561505732092
22	10.826367338740544411827995675262436005031371380487483959158871306356671459556424	0.000000000000000000000015384787963973897344146553899220758971717843096967124565460371592314420319965031	0.0000000000000000000048185225218448853352767933938670390934130615966616688689351392076832824583026724	0.00000000000000000000000058668866957233938068426097654434271393876647004120885633998608875891180923051402
23	14.873521072935113812248709324062362464042979732199789914551044510409996351888189	0.000000000000000000000029039455813633329419956729518205375262935821904152898921241421935738919326193135	0.0000000000000000000090952476082638411712464650787827299149689792126503461650806614633971753679374138	0.0000000000000000000000011074060184757857396229887014566480861710596252441659922784114444186059625584863
24	20.433597178569419141866864955567337835025403986937927319136241947417341841092917	0.000000000000000000000054814115776647890932592877152372707499119166131668292197333984516546616596934475	0.000000000000000000017168125349607277830779367140164411543553606959198941870784324272724535593832622	0.0000000000000000000000020903233995845753261469214938494702511115920772386376065966100173579950097115736
25	28.072162039411770294649050521142882719381657537648977826621751978649099364585091	0.00000000000000000000010346663949553936317690757429261683478721520148666445416616024312227683901671086	0.000000000000000000032406761719067884198195481100814868630587160947274202306482939334931702671753807	0.000000000000000000000003945702437069095516046333139015015521899651467371082757672450273698465226274616
26	38.566204211634716971828722171621921450773526016132459693675945886415091685960633	0.00000000000000000000019530045466093151062180993366187556880643529638140710117270572899524519744613502	0.000000000000000000061170614913862342394656114026330682478653873104908624913824175399745548890768127	0.0000000000000000000000074478314130876785382046955709247008438571823038878614497960707408381459160113367
27	52.983169062837087241010494475895962312695181866772851224911213056749946581345585	0.00000000000000000000036862050198608525310915341487018850705026899178591548145159416373016504460197869	0.00000000000000000011545707984057418446838754662047875107822454752118401717433713783737244154749172	0.000000000000000000000014057463670910928159743460756159001759341243344381359307094226842646228279593503
28	72.789538439831508002216568650880149607903278294428831621169021730222263719965894	0.00000000000000000000069563553699065829721551649958645123244309900488493596587952081949157310367803658	0.00000000000000000021787958918711703351542427425173630961818359806868911671042223072069147003149507	0.000000000000000000000026528056981395339059910438372537685995218704677957840725836694700851660950105699
29	100.0	0.000000000000000000001312236180024403875100976014256921719613684904053147770860909395971629785867366	0.00000000000000000041098159703593712373221108913997993826690056389786144393657596995570055724395235	0.000000000000000000000050040419023855794766955526453405187326706012967846231230695121545253788246690808
