m6	Gninj	Wninj
4.13201240011533687355142497933077619017638268318171456231476085676355862974777274254336073067136946165422363295876158346	(0.0000000000000000000000935146975115818738339136407060247192179147241092584841317934103783181311518334431721955024563253948084259166668761453409 - 0.0000000000000000000000561481600337741862705657671960600714905658664811972978908420435011416665423152165610594536393660420404925933824133280238j)	(-0.00000000000000000000000795692338399335903099598278834401550542493784134583512448374501140733848221132645578101883195753640628579675857859157442 + 0.000000000000000000000130426646890924809023406755032647421263379027331217182805282265948410994807239773418264835948508137623875095447321373176j)
5.99484250318941014811559563053420341792505712982592727891133592796725701829834579759265675256212768861671456310321803177	(0.000000000000000000000135662767118767465820663920940038553681777507813505748306179894464216584746030308811355608724236350370144238314117365436 - 0.0000000000000000000000815020893122560070429038628534266352509538408182953131475337927059971110443574789884211536608323108629957746155669727047j)	(-0.0000000000000000000000115619535171151659231869208122874080355576051618186592337707954127896231761200824258478368046994818128892185004199016603 + 0.000000000000000000000189134691871526055479604326783289611025979210392589476053470737226649564322557666757804414088105783470958064805601918616j)
8.69749002617783327913479146387332709624003280073782296075665591367558291372894603935108544234132284333572317686378518819	(0.000000000000000000000196790811614027315645772460742404928892658965757553507410015921505004567674123772154942013481044732794376852862002667515 - 0.000000000000000000000118369872579857336322151717145163164175827498517104367561539119710458134618553570164227119403406368866746329796210282209j)	(-0.0000000000000000000000168271040453543244907521102806117058407212905388831580668085194638823767590616165268998954233594441870484138081743918956 + 0.00000000000000000000027412121449929592821952346562875414311332387550803907920230201718559702577658225820484686141861907607569456110367274505j)
12.6185688306602042565689206334196624508024911714658731858465649332180634116211899497219788988697166664969466672360606298	(0.000000000000000000000285416094169460025897276450393696515906295376182427366807508264758089611727567842693152725162190533943802799217027339212 - 0.000000000000000000000172113574067484515013963468506356812684676311216682270458448532354108152523521397459627709491904369546756944478014852676j)	(-0.0000000000000000000000245651445014791504389410291258044753857814314994972825133632100683062393673802536485569294535682229784366119661364446452 + 0.000000000000000000000396846851611692284231970202436503662167438504147312680299670006307265458387912120793892431175689930895015485134111400652j)
18.3073828029536820179342319923628569781055915557191387497830535616968839393044958367626536597989915192462491854959924239	(0.000000000000000000000413835540699614405562433247667105915019678560811992094876734529153376825698459878181250343414208350196108865685200120266 - 0.000000000000000000000250862456811571696443441693807778250899216083313267919024115321178183803756380551490095170421645710780508182580495555716j)	(-0.0000000000000000000000360585223180679253691496769555159436621092565821637028351748222009468001609184935401229552948228904114864441267695991269 + 0.000000000000000000000573152447863403423135003074334961633597316479916473960796784648214375849258035734841937664972022122819313630370949617278j)
26.5608778294668627766323355407359483556132018226376559851531431605004742854432986067497955435344554252309961345358605571	(0.000000000000000000000599791695663768602187110427487395371066206364014091125020696940083021542879099369087656135355000490681199431161351482067 - 0.000000000000000000000367467998455776463524207553910336783439839095352543171108633922585011167207682833277581907675320224760220189628945824636j)	(-0.0000000000000000000000533768203371468913340185735992031225624418475389841101702611728174415855698630074833685217731419165588490458696627835552 + 0.000000000000000000000823657728178726540061592620323783953336580916427025861567022469665097900318894440782647742354238847183103480997719087385j)
38.535285937105294070702149979604145171150825306967036808584949878257488105734519144985119335655181255951150785636696589	(0.000000000000000000000869148073196422907792519307322163896828755400164151638182848662279936620288909531343401859005347942983104221643199007729 - 0.00000000000000000000054372968115608904807959727695165289573837581728332214228455386923753893056957795120101181419908110799120173657057203608j)	(-0.0000000000000000000000796996553689626489470058233577209924962229342618761686616601779803967826995130111616521376980235183509115573602817635428 + 0.0000000000000000000011713255071254005254219058542971794361884385402940134435072821117073309202468813342584463851598515130965573680749024029j)
55.908101825122235893502827688604298694102377288028055241742113811755967334254924284872276933619688524435259406390244338	(0.00000000000000000000126185846198012769804536803430168895459805415470262198523177048515659126110163732317582085104078049458563842526315924323 - 0.000000000000000000000820367426092086267011979082118714118761396013459690423007101847340854186829634501571567658040994167225028808114238935939j)	(-0.000000000000000000000118340925007061873475679923462160067181496823930603768439390318604263433162947402586342833760114086436892558519026801696 + 0.00000000000000000000163005124285878541415257218095605333461302598126880538480165584664997815112921908417889031868647462783810010453178228185j)
81.1130830789687091321110011535867985365974862957505536386900006308084045347577436316212753590723423233030129119885749938	(0.00000000000000000000185362553343952779374657408242878027705981264965612834392493465256612827814506350851795360324593996712011664005165693107 - 0.0000000000000000000012796883410892855994231494034432285168578835509320316668642740486671299577597005128482611835045486426211790860791542989j)	(-0.00000000000000000000016395584825285890649254731696046583632937758045005144231455076902545058867004258918984849846369633725363021353027619737 + 0.00000000000000000000217450169682470136045327488093062393620027494214903327700406353004811369205053690385582332889589618456281759645129676881j)
117.681195243499845948464058877008059653696641217054519176860323220747858176186214881733785915075079649235142375790420412	(0.00000000000000000000286273980166579761930491601934597088434607570640212480526521781297147504419183016937180304569386853682017877595923455624 - 0.00000000000000000000205252405621792586021320297432458945983025376243783408609041397213804008727264110443360419166391990927976915201290514017j)	(-0.000000000000000000000175900092093617200778095018841427712731723010371012009543172201942168814966289096090099514016722622145801992585755583392 + 0.00000000000000000000277061963851868745886826600980353451480253610737034655917319213645744968064203232033740514966478172160326496678371089183j)
