	m6	One no mni	One with mni	Two	Total
10	4.132012400115336873551424979330776190176382683181714562314760856763558629747772742543360730671369462	(0.003200000000000000153349555276349747155518642034032295628994920428955384058513408788467966719802012031 + 0.0j)	(0.003200000000000000153349555276349752601651704091471350576083774838622221818271426987665241331217277735 + 9.306193131025459858301359553824547210925974876951559826018018400828287151916947586862113172675256651e-45j)	(0.003200000000000000153349555276349756710326472585894236784154081585021085234076536303897373281210004525 + 2.020760229784424482751808951712926853505243470220424789061230085836366300319785091269601166327389165e-44j)	(0.003200000000000000153349555276349752385498978363329560940435504098594761760105711117830408473316428854 + 2.102706461223378183768712339777104179739221435555893446360827410749298867586825217550186676529208863e-44j)
11	5.994842503189410148115595630534203417925057129825927278911335927967257018298345797592656752562127688	(0.003200000000000000153349555276349747165328913645885393840895619045312452848058970470689377326075011867 + 0.0j)	(0.003200000000000000153349555276349758527940076942026860459734504240182163856181406816527546647352624863 + 4.127210734330170455659246404355783127159124083409691689252439711161442807433426606242051123399634312e-44j)	(0.003200000000000000153349555276349767274572155872134794897515072127909029500191054444892335580951660439 + 8.777374401596501149747376141724840175627787938952046559162112881779715876857363804946615134280399449e-44j)	(0.003200000000000000153349555276349758089286649972293501209106731526650034130162905770220044645730196754 + 5.93387698268052157555161736388164144858234264396345241647477509933892733077992577541367970279170629e-44j)
12	8.697490026177833279134791463873327096240032800737822960756655913675582913728946039351085442341322843	(0.00320000000000000015334955527634974718436656212583970949697532906676641968124723223491807696402835854 + 0.0j)	(0.003200000000000000153349555276349770744688791694560421838962282975791722172145134058895393312445158336 + 1.783363703566163915047552624771076157782409830160214152285550802057057812405685909334075187326233369e-43j)	(0.003200000000000000153349555276349789500484431784318813010209399042793119720961705411527799143716854941 + 3.847648519291119713681041740249186988435161344172141159582605643193722206810537249704087527801915967e-43j)	(0.003200000000000000153349555276349769877766208906809904414581143417083241277641925360565994049794981265 + 1.989908948304868390749492794403896485823395052714182752114667738998688724903144100760913274828778236e-43j)
13	12.61856883066020425656892063341966245080249117146587318584656493321806341162118994972197889886971667	(0.003200000000000000153349555276349747219354675324425951556567989444324429887594976911546138223983324288 - 1.284015519226817274404306586166412448032816189030700215406074555242768489775100756101631059151589855e-147j)	(0.003200000000000000153349555276349795623599342768370509802458575305142483063329265642012404903425479084 + 7.468412164374524181921793519634862967773199477957448257206592288305270922988265658796633601731386832e-43j)	(0.003200000000000000153349555276349836241641070822096330828295688703765102943218775563016642329204316273 + 1.692077723517304576812384600434666895505305582205607275637322616666885269966287048249616995682988798e-42j)	(0.00320000000000000015334955527634979398478810361000669038722115011905086337164198690259742132579423142 + 7.394391381268848901722628225979641495768887151646282026382041661729221431167380139303841352583217014e-43j)
14	18.30738280295368201793423199236285697810559155571913874978305356169688393930449583676265365979899152	(0.003200000000000000153349555276349747278276978426482334603283236349318582269607558063929661491873437042 + 0.0j)	(0.00320000000000000015334955527634984554391856292283243902262784211229315833455657348838369016761015342 + 2.982557198849489621887511170143452531325183834409941373332292070010598910355105924361020410942555395e-42j)	(0.003200000000000000153349555276349934480500148567598906539025670496260881955278335617099097120223542781 + 7.434226251709347328969956627694826006396030507290778204793016109091581399583127249459487625261573435e-42j)	(0.003200000000000000153349555276349842664190474115611154637798544778495449988202114736284617542544427645 + 2.80487480247239752888569190579901016806883646709298668189060709358125163241511506549039855030684992e-42j)
15	26.56087782946686277663233554073594835561320182263765598515314316050047428544329860674979554353445542	(0.003200000000000000153349555276349747364749342141970696317190472655410008179051195448810264631735321917 - 1.897326616932608831822338816199546668996524701144530014018821868495205261627236087325275525725322578e-148j)	(0.003200000000000000153349555276349944556752079382830728936602318215194980329055648683781758315254527455 + 1.10005552406779336558450619366214919457967881786131149583142617066266868137897522262781252280895488e-41j)	(0.003200000000000000153349555276350140884870983510810536377829776781220498274469066244319762916251562546 + 3.249040481729406933194309092452692688036303414542791301217813394777157574730601630922865509082141015e-41j)	(0.003200000000000000153349555276349940063054093007992633686386479152802122277002016774615282264575789117 + 1.009614519669240806801310919386253549562315860539966098892316301404348067645086703155796158896878047e-41j)
16	38.53528593710529407070214997960414517115082530696703680858494987825748810573451914498511933565518125	(0.003200000000000000153349555276349747466820664147165261571235842441046014931656691559456554161433335181 + 3.942835356471007008683812772101376153216543167593035204348453973615336476161727543709984222662211699e-148j)	(0.003200000000000000153349555276350141821474425880041596943444542206049433464191474476124777153782409088 + 3.515150572587248377300088506832636102389480124398114635722132349048657913023019776665588310132822799e-41j)	(0.003200000000000000153349555276350575321372658704400025670869715062376001657696158092867142801384200063 + 1.403571513248888955815438442364595648970127115058218423813419780825027033382324202708313764566396092e-40j)	(0.003200000000000000153349555276350136063239344716555024629044348312400847654265639673426491676289245601 + 3.15941020335922872996425938735149044095332303141349883801973845621491347375702376940876321400571613e-41j)
17	55.90810182512223589350282768860429869410237728802805524174211381175596733425492428487227693361968852	(0.00320000000000000015334955527634974754929101089890527828054897033257101145492641411678760272967301578 - 3.278869698008123055539035675127288368381440036370451055278072845920765398872553433226342052920021339e-149j)	(0.003200000000000000153349555276350546052404643068320755598970294396610819899923950081452693115005955395 + 8.370602449927649176445039922130937773598248680075726729268231567927177133422043697287858229239043728e-41j)	(0.003200000000000000153349555276351498114447798735419592759787600927548591415859357854680059202756500988 + 5.929165029976453874177730549021028936874513470117835722734809838304452306666767387565396868052635979e-40j)	(0.003200000000000000153349555276350540915515268105775095391639903700880554716251807654786025113995829169 + 7.174940175513146739824268905185855259554814972975172265669489383921744103625160250047824193746916175e-41j)
18	81.11308307896870913211100115358679853659748629575055363869000063080840453475774363162127535907234232	(0.0032000000000000001533495552763497475692169066753435326632739826982009237024421607904095230144518993 - 1.733819620335430195779685744306973658381381179156126156183220920355151151546160941724502531328687366e-149j)	(0.003200000000000000153349555276351358080692191777986777327262580423268748512757787000975042512599819144 + 9.27887904375580418918517178185289323590523419651476055992542949163450042978892829765093099350941892e-41j)	(0.003200000000000000153349555276353501608394038571161267955068611017363059671273342270327021235581727398 + 2.384310225635923178895583728356912273784769745728987232375497986022772358709119949476165594469473663e-39j)	(0.003200000000000000153349555276351356226667682091819211328304021585919896535049998483865293244926592041 + 5.93022057405723257629364775753156401600638185195226782371839901548069811241693663559427222000099036e-41j)
19	117.6811952434998459484640588770080596536966412170545191768603232207478581761862148817337859150750796	(0.003200000000000000153349555276349747513228744217763347146231098428378094648959810760247466362612757647 - 1.625069362681955812045615048036460822948273796640653137363666415065813372647485863204982726996191634e-150j)	(0.003200000000000000153349555276352006950877355820290513994145257034609248706664375186062401603308950238 + 1.849386199163322802053914087418856029023341932706318326243554568043830738142794204605592223029867153e-40j)	(0.003200000000000000153349555276357687246023133385836551050986556213598836107046317340520620429539469528 + 7.182758768984165469143604569269519331298780161616654481778181022520003400652409035866943050751818977e-39j)	(0.003200000000000000153349555276352005014408774823773716850717138109964216287547043938573908940445457554 + 1.268747498572333691671374112676167463157170789506267925831921545405126325910789268669336430690048458e-40j)
