	tb	Whl2l3	Whl1l3	Whl1l2
0	0.01	9.8885010737315849707666668205494441178074353551363069163863290803103219960756096e-34	2.2776033912242436837911335846309001704601328486992359874456233870050492802653089e-38	1.4256953408283428277504569957924549750926824570280761760003433005019347197246281e-44
1	0.012067926406393286370831703097648327681054619541514018611023822896171655598308043	3.897584812685435550103055947969114732356457242539124907346832885849075090330777e-34	8.9772477353636191593486208118346616690847228206093016946048465363080677621196257e-39	5.6194244923509077155673247965555652840815597945955602756248019961887396699122218e-45
2	0.014563484775012437879551431015760647213295504088978407870255413479452815956562062	1.5633440363040027345546621015108454071874632058255598698703784440847254789046182e-34	3.6008265077477399259001018729963623809253967623810680641208552786914640930298373e-39	2.2539839934798557292499627074607131976927843630099890430309479258997563339606376e-45
3	0.01757510624854791881389007655886166993236741554122847989724604641788810811682431	6.3783910548882175149218238138171224907635501451631882370495020313352159815352864e-35	1.4691250968728280322425424521101776014867559436095488947471566796616597336667814e-39	9.1961788613497576652459876734328313553420595751431384014533811844489209548964063e-46
4	0.021209508879201907836396125355583367737575633496271870914196272329262573371491035	2.6451656213683497602013944344938635776573625556381732538885475858584727662251093e-35	6.0925696879667808380522633598069135572557119676476558820238851625639903916400768e-40	3.8137229387062989049726155287975101620398241156902149171176518432863091679881763e-46
5	0.025595479226995357855864723011921338642165937028782850254378699345568246061328799	1.1139637436275811003573871670296759867051985767458678521837823711358704999679986e-35	2.5657757244211242313080375990848184775874582097517042281950744307008407102052188e-40	1.6060805711228452829762602397963127417238903419875248040762272096735174759428068e-46
6	0.030888435964774810024309268245631085834514206254223003826152793842376421873227427	4.7586620880509280066818688157746649565799802038097253687403619037382747604980156e-36	1.0960553911561617876445175662763777326352405200941545232705180738057816189472338e-40	6.8609008624242000084197560146687099225333460269664725328858013986149165404849838e-47
7	0.037275937203149401661724906094730409920771828011093488533716004749210918776517449	2.0595237773057439779614631918654285601860839439267181047869484780916050540534681e-36	4.7436697498983599263912230945516035327605884803867610001157261773093507433214592e-41	2.9693616491060803372418425528331751973273481342705781724164607398736525837631791e-47
8	0.044984326689694456873860736695528310503248313303876439272592381251367183021484705	9.0191816172172292723605657626524914425807080196018216300521386726152465822020139e-37	2.0773743662913683049373471655748729153364031286924381983459913301729213423540662e-41	1.3003594816957554584977738861866288028645203130263614470176653667552858467482315e-47
9	0.054286754393238602676798984874106473943548354354393201062994322287812924626477909	3.9914918706094993482131349025960580499492979903161545605488571746837065651280933e-37	9.1935424414540700485608305096522046403846820825398747629826311742251961195265619e-42	5.7548176004000106694322131836127162227754065004124403222310279992186930156719226e-48
