	MR	Whl2l3	Whl1l3	Whl1l2
0	0.1	0.000000000000000000000000000000018937788524354384871220982811429711295909704284213312880632425973748722186333125299936280478622867249582188884689410975286995688430432046652384978198341240440126492849272034224908066066112610992474327	0.00000000000000000000000000000013811261309984271354887876783778522413397141547586596051437390653591181661865331812250295863373346283837890090277256063491545081457818273243527271567617954606069614816824568235535728904996568139104941	0.0000000000000000038793748438707799376153270241254993733275498492960100916004729657860382945325391175146735703879750279167028789571498622482968939793135236427374775640511107208671665308881584939338051067632383050034017
1	0.12045035402587821686200808777767031990978847272922739141328313703267742850699009765034437900681719360424584544029954146709269947875949204945174235454903419225581592439677536601560149028346468876426568	0.000000000000000000000000000000039869259156397539179246600907405700469335107418500658956437201031042519048514681123753892394328722025784205990492694644498227712593205474096844181628320000563999956890218822793732573980953254486574464	0.00000000000000000000000000000029069473498045377174208559895896974991405560003057897596752647518318438095682392918981287410891152806697097580094982236885516281189567793743137600457640771549362664757222172587879568170627516626921862	0.0000000000000000038724573948325022643717538280347882205535176842899058250537721521833132092736186308594526172526770397134533950508674414700846473971166597066945406962498605041636949455121086555888035910474626901317938
2	0.14508287784959396764504968755324046378427507635654563276647814584390675009297792583999894038747706179853001803343703427426279516400879902672233972695193625636019830963557546812821477434289360613294009	0.000000000000000000000000000000083933354017622225734558863572555908776883352156521268166728744122990123113778062556737751294540669029418653715845169508765174263884534954297577296950830345012450115321076031739701834849291302369435289	0.00000000000000000000000000000061184928313937963187646933279557104129718314090005298351014338706497407692261836556222012340077965921249573776809651169887330774532543227671062390089992208243136903735845258285232467924277075078404913	0.0000000000000000038624320977695783896944429475208833878135351969572150628583271892405085726368435006772667342251179306937846257623529280710914009364989507997812383397825435563817758486081909093217471036600992793971212
3	0.17475284000076838335066803524802632662351061686933741838500653031146774860120187297483717483245597769929699656951979716640885281428973601062593098286584332865025240550169887193432633651203058324366094	0.00000000000000000000000000000017669086325441174779595930785443888490789961360854733357058218299888767424545958098377045272782321860369585452923575093928377389019758679551837221072364159063101191987069143172750855426529984971349723	0.0000000000000000000000000000012878258485878428708738222478516888649952074683142300369317207945788702170050560270412421587577828175257344926066717362803038612494812679625052508329942655723446293912378381828856658601683879617579216	0.0000000000000000038479097262958059934796394493500444569040786537285783881437311317703833891744518318570685053936487257781081890153738720049565498171823294452735117510349800031322514824996358913656047972065557403662048
4	0.21049041445120203937387356815208169654299148949741970354701216050135377514343164572539808791780868509177621087552328992753231194852893338333869866152950927852544979652037795362388552994951777994327827	0.00000000000000000000000000000037193794485454676472448003756270894076749506439265735101119544231450638543965761382544921190837554218403024504259900092712960008260076992382245367289437741134069267135411608719578872640024956419001107	0.000000000000000000000000000002710677140398659862118518574070526433789195361614260205125395659856336518292088244240046928208084852443982199054933077228629941777781693805081845448273336079031318575583114993758735520709443925091194	0.0000000000000000038268879003057928760342984634409242018393228238994574026017051476263426562583242405311511913257464971894672789466209216748886431520661742187690143067109460244011769738708963751934226198007810604398897
5	0.25353644939701117960647177126328943894235876965409556558416018565799729189041031709009088633536476964033209118889898762033386155046669705416511306017193097504965142413866428093454915201750870593700289	0.00000000000000000000000000000078287972713793516595853913296944181892454054125514858868702697608549474400087970326357696423196897300236899336103449763407350599893895438451543515578229055304741680107829912350658429597534245393057737	0.0000000000000000000000000000057057129469120144236437764219530409565413212114621628707322140426672441707905094138170812188101673516004081341111361587321513412832998522917663120641736659022823276012623362895425091835475966791233593	0.0000000000000000037964892158334048002186789690987489171004443755884025400891449769577875232823060323394988221362929421071034597292857108384357133677537352770434607539059578364535359582504575724304531946677080349070343
6	0.30538555088334154345476500526598993781276221506708185710926397704821180169535222591969352664575183517942944599832696940545983614470947665002584604345812272764188371869108253478026587493187569037226595	0.000000000000000000000000000001647690493756489166098059551435150473657044834856529177643875787501275775924781639496975747278724091462109478962593375641113398567650802936548116622088034558086120247521016508140117644042688309704539	0.000000000000000000000000000012010422372445006824254729856562083822577429334616145974525648052721761873246753435615392557261163865038748200573264535089854090578622243416505273195945237274370651728525434885648456270563159491620255	0.0000000000000000037525974381476773425785421756554257826791310903927476553262696588024224503653579355850207724769949168774828146469624056491221351751981703386387310153873346630381373326821915869504168262659571171888059
7	0.36783797718286335124315745886275830297844176627228809484199710317326496787516128287171202539388800505532339534782159805366950515485769432481241559779981839773722648009662979013740469586628013003515565	0.0000000000000000000000000000034673319733053584703429719049977999625290036266567842457087290692075337391925307433522432332965913291530094223542747079965963537270856020752381271386715695065113680924311751274025390401716027292401755	0.000000000000000000000000000025283046029611390943421754397204618366874074419652831597908074413018548331932615904712308994573276719006729518519382707614682849485003413792529993217186244012946740208204868416828805408160959634274975	0.0000000000000000036893636683158409616357976447468689535438830899811557045499752391096843219513699223588558574721536781865826424031883260945675152343473520691384983651931495552785196758566659266489637960256059349434854
8	0.44306214575838804334485176623120336230944186957900350155673256779767858017574538506188211609023376588796417969086118489349957764733047185911860655852974952344225484977961237920771562796979574283723454	0.0000000000000000000000000000072950984704330676672410881980339253743100035476834681102768879241040614516057780814113880337608622892446817711692955410996439435198690185884907520515603558358347927272133194748879559690013918275819313	0.000000000000000000000000000053227022557516544806410444812385258657290020332438937879607370473401267587645364373450775813763662070293585672410792929909137419717654581993801504673277620342340681754959358759007018538434899812267184	0.0000000000000000035985615511704389593725047620566940910407239297445114643661978142262356729671001440419652114938650189926193911237498585396265686468701215755805051795576279333038616376529295365216513849828663066131298
9	0.53366992312063096581536941949428649409886829097948500298364105286562244871086998294695040868860957613695335564708612853770002399233439760381757292591157151651645919547752040666250256586295165753663735	0.000000000000000000000000000015344431965358258949719660824209017047732298315711349383265083339885445503835082065035000813595332272528305674303291979646424240938110368180370797539521472045633388763850669076395145202236217912656034	0.00000000000000000000000000011206726729262238193661551300229232561210518279657712963752376241486817325834962565420391715160575256279554332324327098343753947584942153301916192155012282421674392051396665113838066457226921958960585	0.0000000000000000034688030090988778864135248568976227825249090398753852099561441119246231058951958657267809640592801299768472084039721111225960332841659908720508839045852761330486314861934752898253375991587484915347695
